CremonaReference,Discriminant,Point,Height
867a1,-136,(-5/2 : 1/8*(-51*s - 4) : 1),0.450514168481156934248269738


867a2,-408,(-39/2 : 1/8*(-289*s - 4) : 1),0.485967363250954831028751285


867b1,8,(3/2*s : 1/2*(3*s - 4) : 1),0.315275570847931452603298205


867b2,-4,(1/2*(9*s - 2) : 1/2*(-9*s + 36) : 1),0.232754631112226804368810503


867c1,-51,(6 : 1/2*(-17*s - 1) : 1),0.659142263034946782853066284


867c2,NA,NA,E1


867d1,17,(7 : 1/2*(-153*s - 7) : 1),0.465509262224453608737621006


867d2,136,(-10 : 1/2*(-153*s + 10) : 1),0.630551141695862905206596411


867e1,-3,(-6 : 1/2*(-17*s - 1) : 1),0.271920530982966759553888368


867e2,-3,(11 : 1/2*(153*s - 1) : 1),0.690027874831489735187322439


