CremonaReference,Discriminant,Point,Height,Provable
1962a1,-3,(s - 1 : s + 2 : 1),0.321214396072789751126281810,0

1962a2,-7,(1/2*(3*s + 7) : -9*s + 2 : 1),0.476369093905927789853584995,0

1962b1,-3,(8 : 108*s - 4 : 1),0.0553678440124175346836405319,0

1962c1,-3,(6 : -3*s - 3 : 1),0.573314547459103625264053590,0

1962c2,-3,(6*s : -6*s - 54 : 1),0.191104849153034541754684530,0

1962d1,-3,(3*s + 4 : -6*s - 16 : 1),0.321214396072789751126281810,0

1962d2,21,(3*s + 13 : 1/2*(-39*s - 41) : 1),0.398063542878119389204993674,0

1962e1,-39,(3 : 27*s - 2 : 1),0.405251184079181248986175635,0

