CremonaReference,Discriminant,Point,Height,Provable
2057a1,5,(5 : 1/2*(17*s - 1) : 1),0.420386779322525140163222349,0

2057b1,429,(26 : 1/2*(11*s - 1) : 1),1.97961378074148480082718157,0

2057c1,44,(14 : 1/2*(11*s - 14) : 1),0.509074358672684585530526187,0

2057c2,5,(1/2*(-11*s + 17) : 33*s + 26 : 1),0.669581195632115987579306934,0

2057c3,88,(36 : 33*s - 18 : 1),1.30053369397110927441873748,0

2057c4,-35,(-3*s + 16 : 1/2*(-9*s + 157) : 1),1.20453905830702485050644388,0

2057d1,-55,(0 : 1/2*(-11*s - 1) : 1),1.00691703781324257550774978,0

2057e1,-88,(-19/2 : 1/8*(-187*s - 4) : 1),0.908923518756800349046242826,0

2057e2,329,(-4 : 1/2*(121*s - 1) : 1),2.10896171690362675398004299,0

