CremonaReference,Discriminant,Point,Height
810a1,24,(-1/2*s : -3 : 1),0.229351532868282198040872162


810a2,60,(16 : -9*s - 8 : 1),0.265240240502164140372336338


810b1,21,(6 : -5*s - 3 : 1),0.257522797128020677157219352


810b2,-4,(6 : 40*s - 3 : 1),0.973749741281109720263638271


810c1,-11,(5*s - 3 : -30*s + 34 : 1),0.201386473611829003967542264


810c2,-435,(-38 : 60*s + 19 : 1),0.814715534208577206097293074


810d1,5,(6 : 5*s - 3 : 1),0.295367717078613147352849273


810d2,5,(10 : 18*s - 5 : 1),0.393823622771484196470465697


810e1,-20,(1/2*s : 2 : 1),0.265240240502164140372336337


810e2,12,(13 : 1/2*(15*s - 14) : 1),0.556822068126042849595938544


810f1,-15,(s : -s - 8 : 1),0.0984559056928710491176164243


810f2,-3,(-11 : -18*s + 5 : 1),0.362466128833513937267875546


810g1,17,(5*s + 18 : 40*s - 187 : 1),0.288580520288005599222249929


810g2,17,(15 : 125*s - 8 : 1),0.865741560864016797666749787


810h1,1,(25 : -133 : 1),0.229942013451382842555135682


810h2,12,(13 : -15*s - 7 : 1),0.324583247093703240087879424


