CremonaReference,Discriminant,Point,Height
1722a1,33,(21 : 1/2*(-49*s - 21) : 1),0.363500883136086454870912189


1722b1,1,(4 : 0 : 1),0.194093744595795259704427859


1722c1,41,(-3 : 1/2*(9*s + 3) : 1),0.349924205980273741186368417


1722d1,41,(13 : 1/2*(729*s - 13) : 1),0.725349588415772410052165582


1722e1,-3,(12 : -56*s - 6 : 1),0.119629952310227058489255088


1722f1,-3,(-11 : 21*s + 5 : 1),0.0612048010859615232471295479


1722g1,-8,(1/2*(9*s - 38) : 1/2*(-63*s + 198) :  1),0.223712799680798617970885556




1722g2,-87,(-28 : 1/2*(1029*s + 27) : 1),1.83736591097668328762570789


1722h1,21,(14 : 1/2*(-49*s - 15) : 1),0.927482718247936699134644820


1722i1,-103,(-11 : 81*s + 5 : 1),1.50169682257450632946029777


1722j1,41,(3*s + 16 : -21*s - 70 : 1),0.0749696262200573084334883467


1722j2,1,(55 : 95 : 1),0.149939252440114616866976693


1722k1,1,(-53 : -548 : 1),0.0435151893021555038663270657


1722l1,-4,(-11 : -9*s + 5 : 1),0.422173235921962720030806315


1722l2,-184,(-11 : 1/2*(-63*s + 10) : 1),1.41784899942809319596771192


1722m1,1,(19 : -122 : 1),0.176870736479892240610714516


1722m2,1,(23 : 30 : 1),0.353741472959784481221429032


1722m3,1,(-59 : 274 : 1),0.707482945919568962442858063


1722m4,60,(-33 : -287*s + 16 : 1),0.631989230854990414929027820


1722n1,1,(-2 : 22 : 1),0.0346749785050032490333952065


1722o1,28,(12 : -6*s - 6 : 1),0.488101124450179730720218219


1722o2,37,(3*s + 6 : 1/2*(33*s - 219) : 1),0.460784481984189986637235195


1722o3,5,(3 : 1/2*(123*s - 3) : 1),0.401147543748057796056164230


1722o4,940,(-10 : 1/2*(-93*s + 10) : 1),4.62740735216280839016195727


1722p1,328,(-1/8 : 1/64*(-1029*s + 4) : 1),0.524737725453490180984206061


1722q1,28,(7/2 : 1/8*(3*s - 14) : 1),0.574304974340926895990787496


1722q2,12,(1/2 : 1/8*(-41*s - 2) : 1),0.464199981162907935034393444


