CremonaReference,Discriminant,Point,Height
646a1,-7,(1 : 1/2*(19*s - 1) : 1),0.854428384511605410985009266


646a2,-3,(8 : -19*s - 4 : 1),0.207804727705124091145522716


646b1,-3,(2 : 1/2*(-17*s - 3) : 1),0.428214849315026202521672679


646b2,5,(5 : 17*s - 3 : 1),0.287243393787939967011146086


646c1,13,(1 : 1/2*(-19*s - 1) : 1),0.351104406826872735078630705


646c2,472,(s + 14 : 1/2*(15*s - 362) : 1),1.19354856011699691845740701


646d1,17,(-3*s + 14 : -17*s + 18 : 1),0.201991892966469977017635591


646d2,1,(51 : 25 : 1),0.403983785932939954035271183


646e1,-8,(1/2*(-s + 8) : 1/2*(-7*s - 18) : 1),0.424638814864187860243541151


646e2,-8,(1/2*(3*s - 40) : -6*s - 27 : 1),0.849277629728375720487082302


646e3,-116,(1/2*(-s - 78) : -39 : 1),0.544969711585992266890754360


646e4,-515,(-55 : 1/2*(-171*s + 55) : 1),2.91580068555505509485363723


