CremonaReference,Discriminant,Point,Height,Provable
2070a1,140,(1/2*(3*s + 36) : 1/2*(-27*s + 282) :  1),0.743958903377030335593539071,0


2070a2,8,(20/9 : 1/27*(-2645*s - 30) : 1),0.821127084984083846538714960,0

2070a3,21,(-14 : -48*s + 7 : 1),0.799543692814741345149972575,0

2070a4,-987,(-32 : -75*s + 16 : 1),1.47316737332708712655197621,0

2070b1,285,(-8 : -12*s + 4 : 1),0.891968151945822564242518992,0

2070b2,57,(13 : 1/2*(-207*s - 13) : 1),0.739913427482839646241765770,0

2070c1,-19,(22 : 690*s - 11 : 1),0.244744745105868703841141753,0

2070c2,NA,NA,E1,NA

2070d1,-23,(1/2*(-s - 3) : -5 : 1),0.199807546810705852629898860,0

2070d2,-20,(-s + 6 : 1/2*(-7*s + 4) : 1),0.341682099501549644761116753,0

2070e1,5,(18 : -36*s - 9 : 1),0.280154058143465237352730146,0

2070e2,856,(-2*s + 50 : -28*s - 869 : 1),1.59556250407382318100815101,0

2070f1,-11,(-3*s - 21 : 51*s + 87 : 1),0.747591698371622930592608925,0

2070f2,-43,(18 : -405*s - 9 : 1),1.41378858525116340065049193,0

2070f3,NA,NA,E1,NA

2070f4,-479,(1/2*(-s - 149) : 1/2*(105*s + 525) :  1),1.51018645209915479688967398,0


2070f5,NA,NA,E1,NA

2070f6,-884,(1/2*(3*s + 134) : 1/2*(-319*s - 922) :  1),1.98806250890956464371452333,0


2070g1,1,(57 : 489 : 1),0.180633953735800544093486462,0

2070g2,21,(6 : 75*s - 3 : 1),0.304449961383542834843237224,0

2070h1,-15,(1/2*(-3*s - 11) : 1/2*(15*s - 17) :  1),0.171692855509615210900354864,0


2070h2,-11,(-5*s + 1 : -40*s - 78 : 1),0.296500695131811069399518490,0

2070i1,13,(6 : 640*s - 3 : 1),0.833037754752754396161254955,0

2070i2,741,(62 : -540*s - 31 : 1),0.928940157085484302315797963,0

2070i3,489,(65 : 1/2*(-945*s - 65) : 1),3.85426446621797829151404020,0

2070i4,NA,NA,E1,NA

2070j1,17,(25 : 3375*s - 13 : 1),1.70404479656870680132862261,0

2070j2,NA,NA,E1,NA

2070k1,12,(1/2*(3*s - 4) : -3*s + 14 : 1),0.389583694735830813066512022,0

2070k2,-3,(4 : 1/2*(69*s - 5) : 1),0.399615093621411705259797720,0

2070l1,345,(s + 38 : -14*s - 192 : 1),0.0980545242917152224009884608,0

2070l2,1,(65 : -378 : 1),0.196109048583430444801976922,0

2070m1,-15,(-s + 12 : -19*s - 14 : 1),0.329997907069148258380627278,0

2070m2,1,(-39 : -731 : 1),0.659995814138296516761254555,0

2070m3,-231,(-41 : -69*s + 20 : 1),0.875827153072086324036964525,0

2070m4,-660,(25 : -69*s - 13 : 1),1.10201661534952618929244952,0

2070n1,1,(15 : 28 : 1),0.334026700059623355049567671,0

2070n2,24,(1/2*(-3*s + 6) : 1/2*(33*s + 68) : 1),0.167013350029811677524783836,0

2070n3,444,(1/2*(-3*s + 60) : 21*s + 340 : 1),1.20044275823448888572297951,0

2070n4,24,(1/2*(-9*s + 54) : -54*s + 94 : 1),0.334026700059623355049567671,0

2070o1,897,(53 : -1650*s - 27 : 1),2.26271502528256807187337378,0

2070o2,NA,NA,E1,NA

2070p1,12,(1/2*(-3*s + 16) : 3*s - 36 : 1),0.132851168907184357744086150,0

2070p2,12,(-7 : 1/2*(135*s + 6) : 1),0.265702337814368715488172300,0

2070q1,33,(-3 : -72*s + 1 : 1),0.392634295183471021268197147,0

2070q2,-3,(12 : 1/2*(-405*s - 13) : 1),0.374699714466028291282697879,0

2070q3,-264,(21 : 225*s - 11 : 1),1.54913750556664557305539375,0

2070q4,105,(27 : -81*s - 14 : 1),0.496875071982859519093225036,0

2070r1,-15,(-13 : -27*s + 6 : 1),0.149209586873665303605625049,0

2070r2,12,(-19 : -135*s + 9 : 1),0.264475823309736141294836335,0

2070s1,345,(3*s + 56 : 39*s + 489 : 1),0.0313111980623157036986065583,0

2070s2,1,(-43 : -1104 : 1),0.0626223961246314073972131165,0

