CremonaReference,Discriminant,Point,Height
1590a1,-3,(4 : 320*s - 2 : 1),0.165402279185749848587489512


1590a2,-67,(16 : -750*s - 8 : 1),1.43922751335952667216983869


1590a3,NA,NA,E1


1590a4,-723,(2/3 : 1/9*(-2425*s - 3) : 1),3.99412076795182345212365546


1590b1,-3,(-4 : 5*s + 2 : 1),0.158380915249269237652490077


1590c1,29,(26 : 72*s - 13 : 1),0.418526308363874790654506154


1590c2,285,(36 : 265*s - 18 : 1),2.14581460877651873667434308


1590d1,5,(-2 : -48*s + 1 : 1),0.222495271445495994062099552


1590d2,5,(6 : -324*s - 3 : 1),1.00122872150473197327944798


1590e1,-7,(19 : 1/2*(-225*s - 19) : 1),0.174421251351875198550673797


1590e2,-148,(-6 : 1/2*(225*s + 6) : 1),1.09837546812203465757453592


1590f1,-7,(1/2*(5*s + 7) : 5*s + 9 : 1),0.643786683776486977764606466


1590f2,-7,(1/2*(-5*s - 9) : 1/2*(15*s + 101) :  1),0.321893341888243488882303233




1590f3,-3,(1 : 125*s - 1 : 1),0.328350411618756096044443036


1590f4,44,(-2*s + 15 : -15*s - 158 : 1),0.902035481255709149759977587


1590g1,1,(-72 : 4249 : 1),0.610999928063339552083116255


1590h1,1,(-4 : -3 : 1),0.333482707691685695702909625


1590h2,-4,(1/2*(3*s - 26) : 1/2*(15*s + 48) : 1),0.166741353845842847851454812


1590i1,1,(-26 : 125 : 1),0.151701698813936056161010160


1590i2,-11,(-3*s + 16 : 126*s - 100 : 1),0.418297121830286213234000414


1590j1,-7,(-3*s - 6 : 6*s + 31 : 1),0.175069997391995581726837394


1590j2,-4,(-7 : 81*s + 3 : 1),0.347956951225521820946265608


1590k1,-15,(-7 : -108*s + 3 : 1),0.927976082689094858338585751


1590k2,-7,(-11 : -450*s + 5 : 1),0.128848112803634728901085082


1590l1,1,(71 : 2524 : 1),0.0863945690429217686365606336


1590m1,-3,(-4 : 1/2*(15*s + 3) : 1),0.240240793252451409669389497


1590m2,-3,(-6 : 1/2*(25*s + 5) : 1),0.480481586504902819338778994


1590n1,265,(-s + 28 : 10*s - 147 : 1),0.121030492545501480182535301


1590n2,-24,(1/2*(5*s - 6) : 1/2*(-35*s + 122) :  1),0.0605152462727507400912676508




1590o1,21,(s + 4 : s + 14 : 1),0.530250985252403616178037726


1590o2,37,(-2*s + 1 : 9*s + 46 : 1),0.692994186282108321582867521


1590o3,13,(-14 : 1/2*(53*s + 13) : 1),0.517612026189349183107632032


1590o4,885,(-s + 23 : 1/2*(21*s + 571) : 1),1.09513171422383124563413456


1590p1,-15,(7 : 6*s - 4 : 1),0.508085636070034260619790458


1590p2,-15,(-s - 22 : s + 43 : 1),0.254042818035017130309895229


1590p3,-88,(-13 : -108*s + 6 : 1),1.80492395652528789140842164


1590p4,-15,(1 : -53*s - 1 : 1),0.508085636070034260619790458


1590q1,865,(59 : 567*s - 30 : 1),3.59007530256966114735991979


1590q2,77,(-26 : 1/2*(-4293*s + 25) : 1),1.41092682411671530402677317


1590q3,536,(-87/4 : 1/16*(-10935*s + 166) : 1),1.29553787757591001418715804


1590q4,629,(43 : 795*s - 22 : 1),1.27390153641223291574799064


1590r1,NA,NA,E1


1590s1,1,(8 : 26 : 1),0.0223323523360233164154314431


1590t1,-15,(-s - 1 : -s - 7 : 1),0.225676319513569336606216455


1590t2,-15,(-6 : 3*s + 3 : 1),0.451352639027138673212432909


1590u1,-11,(2*s - 2 : -10*s + 28 : 1),0.651806124031164013739745065


1590u2,-11,(-3*s + 6 : 1/2*(39*s + 207) : 1),0.564718554940822612118431152


1590u3,-88,(16 : 106*s - 8 : 1),1.66082807875070702960848172


1590u4,-835,(s - 70 : 1/2*(-5*s + 925) : 1),0.769301432256420779494493160


