CremonaReference,Discriminant,Point,Height
2025a1,1,(-10 : 62 : 1),0.349568353391697901147224178


2025a2,-195,(0 : 1/2*(-45*s - 1) : 1),0.597275580190128244156712844


2025b1,5,(1/2*(5*s + 15) : 1/2*(-25*s + 49) : 1),0.420606161634289850235029807


2025b2,-40,(-15/2 : 1/8*(-225*s - 4) : 1),0.352327759462706698790741116


2025c1,-15,(1/2*(5*s + 3) : 1/2*(-15*s + 35) :  1),0.212792342658603695634142545




2025c2,-40,(-1 : 125/2*s : 1),0.275837757685394529637004390


2025d1,-3,(5 : 1/2*(25*s - 1) : 1),0.103819800395949263721535538


2025e1,1,(-15 : 112 : 1),0.103819800395949263721535538


2025f1,-4,(-7/2 : 1/8*(-225*s + 14) : 1),0.378803536379359889908756087


2025f2,120,(4 : 1/2*(-375*s - 4) : 1),0.275837757685394529637004390


