CremonaReference,Discriminant,Point,Height,Provable
1885a1,-215,(-26 : 1/2*(s - 1) : 1),1.11487417314659526818229197,0

1885b1,953,(1/2*(-5*s + 43) : 1/2*(-55*s - 1855) :  1),2.50967015350780002455121176,0


1885b2,17,(-14 : 1/2*(-725*s + 13) : 1),0.359275828009634280029241007,0

1885c1,-11,(10 : 1/2*(13*s - 1) : 1),0.728597176930991443089094717,0

1885d1,13,(1/2*(5*s + 11) : 1/2*(-15*s - 59) :  1),0.348205013276251640871917375,0


1885d2,13,(1/2*(5*s - 13) : 1/2*(-5*s - 27) : 1),0.510749261075967978379343446,0

1885e1,65,(1/8*(-s + 25) : 1/16*(-7*s - 73) : 1),0.514622622466687152851684545,0

1885e2,-40,(-5/8 : 1/64*(377*s - 32) : 1),0.517151442960107793299868059,0

