CremonaReference,Discriminant,Point,Height
910a1,13,(-20 : 70*s + 10 : 1),0.769853764295257246197717111


910a2,-3,(18 : -325*s - 9 : 1),0.533439332193903628758769613


910a3,-103,(-35 : 1/2*(625*s + 35) : 1),1.12890022488429868646760081


910a4,-59,(42 : 91*s - 21 : 1),0.899041840503305519463740365


910b1,-4,(1/2*(5*s + 2) : -5*s + 4 : 1),0.360154283715109261129050782


910b2,-7,(-12 : 1/2*(35*s + 11) : 1),0.194372334252655275155249194


910c1,105,(1/2*(5*s + 67) : 1/2*(41*s + 403) :  1),0.646490941545768704028856837




910c2,-4,(11 : 1/2*(39*s - 12) : 1),0.725912775449776990461564272


910c3,1,(-21 : 38 : 1),0.506234062242283867124227881


910c4,-8,(11 : 325*s - 6 : 1),0.697633715871164841710292488


910d1,1,(12 : 29 : 1),0.302242933768083320732814526


910d2,56,(1/2*(-5*s + 52) : -20*s + 127 : 1),0.151121466884041660366407263


910e1,364,(9 : 700*s - 5 : 1),1.12946081107959984749329398


910e2,-139,(-49/9 : 1/27*(31360*s + 60) : 1),1.95243303472849279400054193


910e3,NA,NA,E1


910f1,105,(33 : -104*s - 17 : 1),0.351575546534570207306332793


910f2,1,(-15 : -3113 : 1),0.841497885193091685351363980


910g1,1,(5 : 2 : 1),0.0629527850552466485672328014


910h1,1,(9 : 65 : 1),0.0257076016566849468575218921


910i1,5,(4 : 1/2*(-7*s - 5) : 1),0.295425685597231299696396878


910i2,-4,(s + 5 : 1/2*(-9*s - 8) : 1),0.346442880849574165294831549


910j1,385,(s + 23 : -3*s - 169 : 1),0.479202560257201973677869718


910j2,481,(s + 57 : 14*s - 334 : 1),0.544832590649719721793635547


910j3,-68,(7/2 : 1/8*(-455*s - 14) : 1),0.704538182345783038214889588


910j4,88,(49/8 : 1/64*(-5915*s - 196) : 1),0.993472702166691140488272373


910j5,-452,(-49/2 : 1/8*(-4375*s + 98) : 1),2.31790761041068662757751127


910j6,NA,NA,E1


910k1,1,(-30 : -125 : 1),0.0664945425404251838423399983


910k2,-4,(10*s - 6 : -190*s + 163 : 1),0.0332472712702125919211699994


