CremonaReference,Discriminant,Point,Height
1350a1,1,(0 : 1 : 1),0.343950892201369805522141587


1350a2,1,(8 : 8 : 1),0.114650297400456601840713862


1350b1,-3,(2 : -s - 1 : 1),0.132315714241970714316091535


1350b2,-3,(-8 : 6*s + 4 : 1),0.396947142725912142948274606


1350c1,-4,(1/2*(5*s - 2) : 1/2*(-15*s + 26) : 1),0.273824094921813009816369876


1350c2,1,(29 : 173 : 1),0.178803667206838270157978488


1350d1,5,(14 : 10*s - 7 : 1),0.396947142725912142948274606


1350d2,-15,(4 : -60*s - 2 : 1),0.291249214119515512751555299


1350e1,-3,(4 : 45*s - 2 : 1),0.0354355659060985390192315784


1350f1,-20,(-6 : -5*s + 3 : 1),0.231321420160153888059914320


1350f2,-20,(4 : 1/2*(-45*s - 4) : 1),0.0771071400533846293533047732


1350f3,65,(-1 : 1/2*(15*s + 1) : 1),0.778006288730929912401852839


1350g1,-35,(-6 : -20*s + 3 : 1),0.363500860882406620262637038


1350g2,-168,(34 : -150*s - 17 : 1),1.63801404235698627036139676


1350h1,-35,(-6 : -25*s + 3 : 1),0.329669910042549959890946682


1350h2,5,(14 : -240*s - 7 : 1),0.182634338740849032758650480


1350i1,-15,(4 : -15*s - 2 : 1),0.343950892201369805522141587


1350i2,-195,(-26 : 45*s + 13 : 1),0.523265335810428208242073538


1350j1,5,(-6 : -75*s + 3 : 1),0.0354355659060985390192315784


1350k1,21,(4 : -15*s - 2 : 1),0.329669910042549959890946682


1350k2,-3,(-8 : 144*s + 4 : 1),0.182634338740849032758650480


1350l1,-3,(1 : -3*s - 1 : 1),0.343950892201369805522141587


1350l2,-39,(-5 : -9*s + 2 : 1),0.523265335810428208242073538


1350m1,60,(-1 : 5/2*s : 1),0.0771071400533846293533047732


1350m2,60,(19 : 15*s - 10 : 1),0.231321420160153888059914320


1350m3,-195,(4 : 1/2*(-45*s - 5) : 1),0.778006288730929912401852839


1350n1,60,(19 : 1/2*(-15*s - 20) : 1),0.305988261974519102953225908


1350n2,-3,(4 : 1/2*(225*s - 5) : 1),0.715214668827353080631913949


1350o1,105,(19 : 75*s - 10 : 1),0.329669910042549959890946682


1350o2,-615,(19 : -150*s - 10 : 1),0.854882154416031769483031641


1350p1,-7,(-1 : -5*s : 1),0.329669910042549959890946682


1350p2,1,(9 : 10 : 1),0.182634338740849032758650479


1350q1,1,(-1 : 15 : 1),0.0354355659060985390192315784


1350r1,1,(9 : 245 : 1),0.122445424457403344051673931


1350r2,1,(-41 : 470 : 1),0.0408151414858011146838913103


1350s1,12,(1/2*(-s + 4) : 1/2*(3*s + 6) : 1),0.250201335265221194254137531


1350s2,1,(-5 : 11 : 1),0.132315714241970714316091535


1350t1,5,(-1 : 5*s : 1),0.343950892201369805522141587


1350t2,65,(9 : -15*s - 5 : 1),0.523265335810428208242073538


1350u1,-15,(9 : -5*s - 5 : 1),0.132315714241970714316091535


1350u2,-155,(-26 : 1/2*(45*s + 25) : 1),0.813413677283173901071183291


1350v1,-15,(19 : 225*s - 10 : 1),0.0354355659060985390192315784


