CremonaReference,Discriminant,Point,Height
1230a1,1,(38 : 206 : 1),0.202852954956503673254952276


1230a2,1,(43 : -224 : 1),0.405705909913007346509904552


1230b1,205,(9 : -9*s - 5 : 1),0.311010816243875147420336677


1230b2,-179,(21 : 48*s - 11 : 1),1.59125956159190621803953625


1230c1,21,(11 : -8*s - 6 : 1),0.501893423242699200726315248


1230c2,21,(4*s + 27 : -34*s - 152 : 1),0.250946711621349600363157624


1230c3,5,(3*s - 14 : 18*s + 14 : 1),0.234681007594253948761460449


1230c4,357,(33 : -5*s - 17 : 1),0.896483848546079738551278061


1230d1,1,(-6 : -5 : 1),0.152893335046170319324676337


1230d2,-20,(1/2*(-3*s - 22) : -12*s + 35 : 1),0.0764466675230851596623381683


1230e1,1,(11 : 24 : 1),0.142834126168312926588916217


1230e2,8,(-3*s + 7 : 21*s + 44 : 1),0.0714170630841564632944581087


1230f1,129,(17 : -20*s - 9 : 1),0.872378202752245540320182165


1230f2,61,(5*s + 43 : 1/2*(-25*s - 549) : 1),0.845054196485305486114008456


1230f3,-616,(-71/8 : 1/64*(5535*s + 252) : 1),1.36585068103949091808897112


1230f4,21,(12 : 1/2*(-375*s - 13) : 1),0.655994330754064040019008700


1230f5,NA,NA,E1


1230f6,-23,(17 : 738*s - 9 : 1),1.21244131760330517371616215


1230f7,NA,NA,E1


1230f8,NA,NA,E1


1230g1,5,(-2 : 1/2*(3*s + 1) : 1),0.131431797413360615035695064


1230h1,1,(18 : 6 : 1),0.681085140928195040336973685


1230h2,40,(1/2*(3*s + 56) : 1/2*(87*s + 92) : 1),0.340542570464097520168486843


1230h3,-83,(-39 : 1/2*(75*s + 39) : 1),1.35046799216707118808546909


1230h4,-35,(-26 : -123*s + 13 : 1),0.629404516475775063150413073


1230i1,37,(-14 : -375*s + 7 : 1),0.393698015996306009742558180


1230i2,93,(-19 : 1/2*(-3645*s + 19) : 1),1.88115927921181781115432846


1230j1,-15,(-4 : -s + 2 : 1),0.261385914518825302587375093


1230k1,-4,(-10 : -100*s + 5 : 1),0.522532906413438178425030387


1230k2,NA,NA,E1


