CremonaReference,Discriminant,Point,Height,Provable
2568a1,-4,(-2 : 6*s : 1),0.149127910501782223399035096,0

2568b1,NA,NA,E1,NA

2568c1,-3,(-4 : -3*s : 1),0.282063615851907251325577367,0

2568d1,-8,(1/2*(-3*s - 6) : 3*s + 51 : 1),0.622016106418604974432910849,0

2568d2,13,(1/2*(9*s + 45) : 1/2*(-81*s + 225) :  1),0.663028255164320723827397876,0


2568d3,520,(-3*s + 54 : -18*s + 762 : 1),0.891844542586290140282555179,0

2568d4,664,(60 : 60*s : 1),2.93416718718920523586112171,0

2568e1,1,(0 : 3 : 1),0.155489474665031804199416754,0

2568f1,-3,(-3 : 107*s : 1),0.152130632220175621693687266,0

2568g1,-4,(-9 : -9/2*s : 1),0.263928347635771743583318489,0

2568h1,24,(s + 2 : -3*s + 12 : 1),0.466606451251997931712073315,0

2568h2,76,(2*s + 14 : -8*s - 100 : 1),0.500973386756279555945949866,0

2568i1,NA,NA,E1,NA

2568j1,12,(1/2*(s + 2) : -1/2*s : 1),0.344485179663865204487831870,1

