CremonaReference,Discriminant,Point,Height,Provable
558a1,1,(1 : -2 : 1),0.197373640860397813510198694,1

558b1,-3,(-3*s + 3 : -6*s - 12 : 1),0.161820719189832423068153022,0

558b2,-3,(10 : -18*s - 5 : 1),0.485462157569497269204459066,0

558c1,-7,(1/2*(3*s - 1) : -3*s + 7 : 1),0.431343487595759266578969291,0

558c2,-23,(1/2*(3*s - 13) : -3*s + 37 : 1),0.380703478835886626265674087,0

558c3,-615,(-35 : 1/2*(-3*s + 35) : 1),1.08587997582649714042560631,0

558c4,-7,(9 : 1/2*(31*s - 9) : 1),0.431343487595759266578969291,0

558d1,1,(9 : -45 : 1),0.359508589188667999855444714,0

558d2,28,(0 : -279/2*s : 1),0.243978850952966197480737801,0

558e1,-3,(-2 : 1/2*(9*s + 1) : 1),0.197373640860397813510198694,0

558f1,-31,(s : 15 : 1),0.212142903128283569508944972,0

558f2,-15,(3*s + 10 : 30*s - 19 : 1),0.120261937913991657023519661,0

558g1,1,(9 : 4 : 1),0.0370283409560906285211664683,0

558h1,12,(11 : 1/2*(27*s - 12) : 1),0.0611274644099345693041285373,0

