CremonaReference,Discriminant,Point,Height
2914a1,NA,NA,E1


2914b1,12,(1/2*(s - 4) : s - 6 : 1),0.566606801948002637712203360


2914b2,-31,(-20 : 1/2*(-31*s + 19) : 1),0.357490433477923210216250600


2914c1,1,(0 : 4 : 1),0.335688753848219042818489921


2914d1,NA,NA,E1


2914e1,-19,(2 : 1/2*(31*s - 3) : 1),0.722745849987603706971437905


2914f1,-31,(16 : 4*s - 8 : 1),0.256311448689946835884647058


2914f2,1,(-62 : 62 : 1),0.486627580195426072141924364


2914g1,1,(-1 : 1 : 1),0.423910329558654295916479660


2914h1,-7,(-17 : -16*s + 8 : 1),0.524978736954395225570755810


2914h2,713,(-2*s + 23 : 9*s - 229 : 1),0.596290832791939022075069322


