CremonaReference,Discriminant,Point,Height,Provable
2286a1,21,(-2*s + 16 : -14*s - 77 : 1),0.377950680115467855487812294,0

2286b1,-7,(1/2*(3*s + 3) : -3*s - 3 : 1),0.569758678323738032014374296,0

2286b2,41,(-3*s + 18 : 1/2*(39*s - 225) : 1),0.660688802807080203734652913,0

2286c1,-51,(4 : -6*s - 2 : 1),0.646599832646618934147475638,0

2286c2,-95,(1/2*(-3*s - 61) : 3*s + 157 : 1),0.553166562571877192819738662,0

2286c3,-667,(-62 : 45*s + 31 : 1),2.92537780628181286713126071,0

2286c4,-299,(-2*s - 24 : 9*s + 367 : 1),0.887461644470876484012925576,0

2286d1,-24,(6 : 48*s - 3 : 1),0.965529426040691841352782057,0

2286e1,33,(-3 : 1/2*(27*s + 3) : 1),0.554937518110963595688283423,0

2286e2,268,(1/2*(-3*s + 6) : 1/2*(33*s + 2490) :  1),3.13145018800441335177677430,0


2286f1,-219,(36 : -1296*s - 18 : 1),0.476652420713571859106152439,0

2286f2,NA,NA,E1,NA

2286g1,-3,(-4 : -9*s + 2 : 1),0.0701161277924871664723229913,0

2286h1,-3,(0 : 18*s : 1),0.431342824271664749369385174,0

2286h2,168,(3*s - 12 : 9*s - 102 : 1),0.478518007130255743329734089,0

2286h3,348,(-6 : 1/2*(687*s + 6) : 1),4.49296995141213697798858422,0

2286i1,-372,(-41 : 24*s + 20 : 1),1.37285093502926851424231193,0

2286j1,1,(3 : 7 : 1),0.103028055002491580736455954,0

2286k1,1,(1 : 8 : 1),0.259980439961164167498090054,0

2286l1,409,(-41 : 128*s + 20 : 1),1.75804500893484068191174828,0

2286m1,-3,(6 : 1/2*(9*s - 7) : 1),0.164008264773329729875828500,0

