CremonaReference,Discriminant,Point,Height,Provable
2200a1,-15,(0 : -5*s : 1),0.494329990584712309208517665,0

2200a2,-3,(5 : -50*s : 1),0.439161594558253183293350138,0

2200b1,220,(22 : -10*s : 1),0.304626184204444714076450534,0

2200c1,-7,(-1 : -11*s : 1),0.799554517945454350468012666,0

2200c2,-3,(-4/3 : -110/9*s : 1),0.332014967613912163939831681,0

2200d1,-35,(-2 : 10*s : 1),0.713180672971818245582145450,0

2200d2,-20,(8 : 50*s : 1),0.533946801773896821751072423,0

2200e1,-40,(-5 : 25/2*s : 1),0.567547763266753714556259715,0

2200e2,-15,(5 : 50*s : 1),0.170579962907481125764507417,0

2200f1,680,(35 : 275/2*s : 1),1.50983647022859407953700090,0

2200f2,345,(-35 : 250*s : 1),1.21253590230131340127339507,0

2200f3,140,(-45 : 220*s : 1),1.36225364132315382933663420,0

2200f4,105,(30 : -550*s : 1),3.41854231589300909685232330,0

2200g1,5,(10 : -10*s : 1),0.0402643643368806429432151523,0

2200h1,-20,(15 : 50*s : 1),0.0540950254763468436928029072,0

2200i1,44,(4 : 2*s : 1),0.304626184204444714076450534,0

2200j1,-35,(-7 : -55*s : 1),0.799554517945454350468012666,0

2200j2,40,(-27 : -55/2*s : 1),0.841342589540699920562610201,0

2200k1,-4,(-2*s : 2*s + 2 : 1),0.529616500307463796333425753,0

2200k2,-4,(2 : 10*s : 1),0.533946801773896821751072423,0

