CremonaReference,Discriminant,Point,Height,Provable
2295a1,313,(-51 : 1/2*(625*s - 1) : 1),0.951187010157567953414950858,0

2295a2,NA,NA,E1,NA

2295b1,-51,(6 : 1/2*(9*s - 1) : 1),0.217573722090519461902814863,0

2295c1,-3,(1/2*(5*s + 1) : -5*s - 8 : 1),0.469535612012475539037649679,0

2295c2,-7,(8 : 1/2*(85*s - 1) : 1),0.775729851499394338358314595,0

2295d1,-3,(-2 : 1/2*(-5*s - 1) : 1),0.147267982490188326211210540,0

2295e1,-8,(-3/2 : 1/8*(-85*s - 4) : 1),0.574113000351359494804502153,0

2295e2,8,(7/2 : 1/8*(-255*s - 4) : 1),0.460635478010326928126628492,0

2295f1,8,(1/2*(5*s - 2) : 1/2*(-5*s + 24) : 1),0.470657217320907456836345798,0

2295f2,-3,(1/2*(15*s - 3) : 1/2*(45*s + 89) : 1),0.469535612012475539037649679,0

2295g1,1,(6 : -23 : 1),0.147267982490188326211210540,0

2295h1,24,(9/2 : 1/8*(255*s - 4) : 1),0.574113000351359494804502153,0

2295h2,-24,(-21/2 : 1/8*(765*s - 4) : 1),0.460635478010326928126628492,0

2295i1,NA,NA,E1,NA

2295i2,NA,NA,E1,NA

2295j1,17,(-2 : 1/2*(-3*s - 1) : 1),0.217573722090519461902814863,0

