CremonaReference,Discriminant,Point,Height
1800a1,1,(6 : 6 : 1),0.113435802097714881532316294


1800b1,-4,(3*s - 3 : 21*s - 6 : 1),0.369606790193870313408244099


1800b2,-20,(-5 : 50*s : 1),0.190919584552525882861440109


1800c1,-3,(0 : -450*s : 1),0.164290335644685513558130312


1800d1,5,(5 : 30*s : 1),0.279158421817182771684424652


1800d2,140,(25 : 25*s : 1),0.838324115103016089632757242


1800e1,-24,(-3*s - 3 : -9*s - 54 : 1),0.257498630349542616351677276


1800e2,-24,(-21 : 18*s : 1),0.514997260699085232703354553


1800f1,12,(3 : -6*s : 1),0.128375062946050869062175924


1800g1,5,(-10 : 5*s : 1),0.683761292663034636003265955


1800g2,5,(5 : 50*s : 1),0.341880646331517318001632977


1800g3,12,(15 : 300*s : 1),0.933393502999657243706418285


1800g4,40,(-5 : 50*s : 1),0.500528594227175502847228458


1800h1,-84,(3*s + 7 : 9*s + 36 : 1),0.714290137512655828788403157


1800h2,-20,(5*s - 15 : 25*s - 350 : 1),0.187192035715230476922325397


1800h3,-40,(15 : -250*s : 1),0.721777306065699909278735253


1800h4,60,(-5 : -270*s : 1),0.222905284926845802907508549


1800i1,-15,(25 : 675*s : 1),0.253334227769008495782149316


1800j1,40,(5*s + 25 : -100*s - 250 : 1),0.669779568219760328411146100


1800j2,120,(-25 : -150*s : 1),0.664938096089930723245329149


1800k1,-3,(2 : -3*s : 1),0.293211026602362793654501199


1800k2,-3,(5 : 30*s : 1),0.146605513301181396827250600


1800l1,-15,(-10 : -30*s : 1),0.196786478120709652647547714


1800m1,-15,(0 : 18*s : 1),0.164290335644685513558130312


1800n1,12,(-15 : -75*s : 1),0.373142852361443068325031821


1800n2,60,(15 : 150*s : 1),0.190919584552525882861440109


1800o1,1,(0 : 150 : 1),0.164290335644685513558130312


1800p1,-15,(-15 : -90*s : 1),0.279158421817182771684424652


1800p2,-340,(-15 : 135*s : 1),1.40433604081454224444406317


1800q1,1,(5 : 10 : 1),0.279158421817182771684424652


1800q2,40,(-s + 15 : 5*s - 40 : 1),0.139579210908591385842212326


1800r1,-120,(-5 : 45/2*s : 1),0.573114426112049131609913523


1800r2,120,(-20 : 45/2*s : 1),0.760464508904702648801826854


1800r3,40,(-20 : -675/2*s : 1),0.864710766126051820783723338


1800r4,-420,(-35 : 45*s : 1),0.691176104829756540250771794


1800r5,348,(55 : -750*s : 1),1.59789232715073123620360176


1800r6,40,(-5 : 450*s : 1),0.432355383063025910391861668


1800s1,-20,(1/2*(-5*s - 10) : -5*s + 25 : 1),0.416482586932932947496208322


1800s2,-39,(3*s + 8 : -27*s + 63 : 1),0.689374765587905724321473508


1800s3,-40,(-25 : -90*s : 1),0.539636932338589557218451683


1800s4,136,(3*s - 7 : 18*s - 342 : 1),1.11002769555129924694614980


1800s5,840,(35 : 90*s : 1),1.31824327659681045931306876


1800s6,24,(11 : -162*s : 1),0.534270860886457729447910848


1800t1,-20,(-s : 2*s - 10 : 1),0.180593361177674131368315883


1800u1,60,(15 : 30*s : 1),0.128375062946050869062175924


1800v1,-24,(-3*s + 7 : -9*s + 36 : 1),0.200311664591111892121759216


1800v2,12,(-17 : 54*s : 1),0.143662203379708314543446392


1800w1,-15,(10 : -15*s : 1),0.293211026602362793654501199


1800w2,-20,(-5 : 90*s : 1),0.836433487140082044512618480


1800x1,-3,(5 : 135*s : 1),0.253334227769008495782149316


