CremonaReference,Discriminant,Point,Height
462a1,-7,(1/2*(-3*s - 1) : 3*s + 4 : 1),0.216940910172337817786851841


462a2,8,(1/2*(9*s + 12) : 9*s + 33 : 1),0.215206758747192390189927130


462b1,-3,(0 : 28*s : 1),0.544074716968810807062506291


462b2,137,(1/2*(3*s + 89) : -3*s - 221 : 1),0.512983104844802302591979124


462b3,536,(24 : -126*s - 12 : 1),1.61128287284377628310297603


462b4,5,(-20 : 294*s + 10 : 1),0.308234228886996339601461397


462c1,-7,(1/2*(-s - 3) : 1/2*(-s + 5) : 1),0.251702057929595374817212889


462c2,-7,(1/2*(-3*s - 13) : 1/2*(9*s - 25) : 1),0.125851028964797687408606444


462c3,-24,(1/2*(-s - 16) : 1/2*(3*s + 32) : 1),0.251702057929595374817212889


462c4,1,(-9 : -27 : 1),0.251702057929595374817212889


462d1,5,(-15 : -1008*s + 7 : 1),0.154969940480772352143717205


462d2,61,(19 : 1323*s - 10 : 1),0.597554686182989157106497264


462e1,1,(-17 : 92 : 1),0.0394110598819247191473753353


462e2,1,(47 : 4 : 1),0.0788221197638494382947506707


462f1,12,(1/2*(7*s - 2) : 1/2*(-21*s - 20) : 1),0.106686380758710308777343284


462f2,5,(12 : -63*s - 6 : 1),0.421670143495884081230594909


462f3,5,(1 : 1/2*(-49*s - 1) : 1),0.843340286991768162461189817


462f4,645,(55 : 1/2*(81*s - 55) : 1),2.26815026395138452090839136


462g1,-8,(-6*s - 10 : 89 : 1),0.286837994634148412240395171


462g2,28,(1/2*(-3*s + 18) : 1/2*(9*s + 12) : 1),0.277078180018166584359563335


462g3,-52,(1/2*(-7*s - 22) : 1/2*(-21*s - 304) :  1),0.412230355758516310609418421




462g4,-692,(-63/2 : 1/8*(-147*s + 126) : 1),1.44261233756083980315201754


