CremonaReference,Discriminant,Point,Height,Provable
324a1,12,(-s - 1 : -s - 3 : 1),0.288119981643138975395130298,0

324a2,-3,(0 : -9*s : 1),0.387624594904276190518439658,0

324b1,-8,(s - 1 : -s - 2 : 1),0.340075268035726382049924256,0

324b2,-11,(3 : -18*s : 1),0.547511575089987319507609152,0

324c1,1,(0 : 3 : 1),0.387624594904276190518439658,0

324c2,-4,(-6 : 9/2*s : 1),0.288119981643138975395130298,0

324d1,24,(5 : -s : 1),0.239241943528655784299591251,0

324d2,24,(9 : -9*s : 1),0.340075268035726382049924256,0

