CremonaReference,Discriminant,Point,Height
198a1,-3,(-3*s - 1 : 6*s + 14 : 1),0.195042991397311341888636342


198a2,12,(1/2*(-3*s + 4) : 1/2*(15*s + 34) : 1),0.0975214956986556709443181711


198a3,88,(1/2*(s + 56) : -5*s + 30 : 1),0.195042991397311341888636342


198a4,12,(1/2*(-9*s + 10) : 9*s - 70 : 1),0.0487607478493278354721590853


198b1,24,(1/2*(-3*s + 6) : 3*s - 11 : 1),0.258054807386880983457205667


198b2,-11,(-3*s + 15 : 1/2*(-33*s + 83) : 1),0.336662039007637620528538319


198b3,12,(1/2*(3*s + 24) : 1/2*(-15*s + 50) :  1),0.0918162204486430409948120880




198b4,12,(-9/2*s : -122 : 1),0.183632440897286081989624176


198c1,33,(9 : -3*s - 5 : 1),0.371533180628727740474357797


198c2,5,(15 : -12*s - 8 : 1),0.541532030679350986578721612


198c3,-15,(13 : 33*s - 7 : 1),0.338356428253122940460345518


198c4,21,(-23 : -33*s + 11 : 1),0.439500416655336271269936767


198d1,5,(3*s - 3 : -3*s + 12 : 1),0.338356428253122940460345518


198d2,-7,(-3*s - 9 : 51 : 1),0.439500416655336271269936766


198d3,-11,(-4 : 16*s + 2 : 1),0.371533180628727740474357798


198d4,-483,(-50 : -3*s + 25 : 1),1.13183777192984694436203402


198e1,33,(-9 : 1/2*(9*s + 9) : 1),0.302874733631981967958710547


198e2,-83,(4*s + 26 : -34*s - 119 : 1),0.810962548409219502154194506


198e3,908,(-33/4 : 1/8*(-891*s + 33) : 1),3.77608852957047977791504519


198e4,428,(-29/2 : 1/8*(-1331*s + 58) : 1),1.28463260473738463438097746


