CremonaReference,Discriminant,Point,Height,Provable
539a1,-119,(-9 : 1/2*(-49*s - 1) : 1),0.810332479297102728141490461,0

539a2,-119,(-16 : 1/2*(77*s - 1) : 1),0.978017695084328549452986509,0

539a3,NA,NA,E1,NA

539b1,-7,(0 : 1/2*(-7*s - 1) : 1),0.392111917057872778025960500,0

539c1,-35,(1/2*(7*s + 1) : 1/2*(21*s - 75) : 1),0.0941941517100797126598198582,0

539c2,-35,(-10 : 1/2*(49*s + 9) : 1),0.188388303420159425319639716,0

539d1,-231,(-8/3 : 1/18*(7*s - 9) : 1),0.306230066563959378324962411,0

539d2,1,(44 : -270 : 1),0.111136147141988019664243223,0

539d3,721,(-26 : 1/2*(-749*s - 1) : 1),4.13714772374191717900146585,0

