CremonaReference,Discriminant,Point,Height,Provable
1260a1,-3,(6 : 15*s : 1),0.283607898778208544934004629,0

1260a2,5,(11 : 14*s : 1),0.521532071589742400981393863,0

1260b1,8,(3*s + 2 : -12*s + 33 : 1),0.552157878082810348200370867,0

1260b2,-3,(1/2*(-7*s + 19) : 1/2*(63*s + 21) :  1),0.516908426519766116970694110,0


1260b3,-51,(-3*s - 15 : 9*s + 162 : 1),0.434979318222329805058109110,0

1260b4,-120,(-36 : -105/2*s : 1),0.987371354017050456693611138,0

1260c1,-15,(s + 3 : -3*s : 1),0.260766035794871200490696932,0

1260c2,-20,(s - 7 : -s - 20 : 1),0.141803949389104272467002314,0

1260d1,56,(s - 4 : -2*s + 7 : 1),0.561260472389120947576655860,0

1260d2,105,(1/2*(5*s - 11) : -15*s + 105 : 1),0.582940573419693601047211234,0

1260d3,-24,(-15 : 63/2*s : 1),0.552157878082810348200370867,0

1260d4,-40,(17 : -49*s : 1),0.606181586768509434302984317,0

1260e1,1,(14 : 45 : 1),0.217450831045239823045274862,0

1260e2,-3,(-6*s - 7 : -18*s + 36 : 1),0.108725415522619911522637431,0

1260f1,-168,(-11 : -45/2*s : 1),0.550190313938672095514907821,0

1260f2,-15,(19 : -126*s : 1),0.0951963259837311930217905500,0

1260g1,21,(-4 : 6*s : 1),0.169328256706029338518910878,0

1260g2,60,(-3*s + 26 : -30*s - 234 : 1),0.264768265285172013708646745,0

1260h1,-51,(22 : -225*s : 1),0.288473050550270665553891060,0

1260h2,-483,(43 : -126*s : 1),1.93723758853426655635084290,0

1260i1,-15,(-3 : 21*s : 1),0.323896644853336743313084344,0

1260j1,69,(3*s + 11 : -9*s - 72 : 1),0.487259621787178607134051910,0

1260j2,-120,(17 : -9*s : 1),0.530494644504278363876088878,0

1260j3,1,(20 : 63 : 1),0.458767976003598279728823503,0

1260j4,8,(17 : 189*s : 1),0.665404150618726357580605971,0

