CremonaReference,Discriminant,Point,Height
1300a1,65,(15 : -10*s : 1),0.350703465104485840747428271


1300b1,-15,(-10 : -5*s : 1),0.180117663379085318297847137


1300b2,-39,(2*s - 3 : 4*s - 26 : 1),0.350569568525477969209861298


1300c1,5,(2*s + 3 : 4*s + 10 : 1),0.264167686998197460480731443


1300d1,40,(5*s + 13 : 50*s - 275 : 1),0.385660403521483671923983424


1300d2,40,(-5*s + 28 : -25*s - 350 : 1),0.192830201760741835961991712


1300e1,-260,(-23 : -5*s : 1),0.373782127613562197449897343


1300f1,-3,(-5 : 10*s : 1),0.218598883953162671945281940


