CremonaReference,Discriminant,Point,Height
576a1,-8,(-s : -s - 4 : 1),0.163308669385744214130038384


576a2,12,(-s + 4 : 12 : 1),0.326617338771488428260076768


576a3,-8,(-s - 4 : -5*s + 4 : 1),0.489926008157232642390115153


576a4,-3,(-6 : 24*s : 1),0.326617338771488428260076769


576b1,-8,(-5/2 : 9/8*s : 1),0.620169672849670376300003472


576b2,-8,(-s - 2 : 2*s + 20 : 1),0.310084836424835188150001736


576b3,12,(-3*s + 8 : -18*s - 72 : 1),0.337900933603020833073453018


576b4,12,(2 : -12*s : 1),0.337900933603020833073453018


576c1,-3,(1/2*(3*s + 5) : 1/2*(-9*s + 9) : 1),0.337900933603020833073453018


576c2,88,(-s + 6 : -2*s + 28 : 1),0.472591549038270576588150284


576c3,-20,(10 : 36*s : 1),0.667745320619432703463216917


576c4,-3,(-2 : 24*s : 1),0.337900933603020833073453018


576d1,-4,(-1 : -9/2*s : 1),0.539636932338589557218451683


576d2,105,(1/2*(3*s + 19) : 1/2*(9*s + 117) : 1),0.718957465033153979731110445


576d3,-4,(-10 : -72*s : 1),0.539636932338589557218451683


576d4,40,(2*s - 2 : 8*s - 88 : 1),0.416482586932932947496208322


576d5,204,(-34 : -72*s : 1),1.22808429785391375061334566


576d6,-104,(-2*s + 22 : -8*s + 200 : 1),0.742509229282018633968294103


576e1,56,(4 : -s : 1),0.526895372480598475024495029


576e2,-4,(-2 : 4*s : 1),0.326617338771488428260076769


576e3,-168,(-24 : -9*s : 1),0.526895372480598475024495029


576e4,12,(-3*s + 12 : 18*s : 1),0.326617338771488428260076768


576f1,-8,(1 : 1/2*s : 1),0.250591196023589181855559992


576f2,-8,(-s + 2 : -2*s + 4 : 1),0.125295598011794590927779996


576g1,-24,(3 : 3/2*s : 1),0.250591196023589181855559992


576g2,-24,(-6 : -6*s : 1),0.501182392047178363711119984


576h1,-8,(-s - 1 : 1/2*(s - 8) : 1),0.444312937419809619897093667


576h2,-8,(-s + 2 : -4*s - 4 : 1),0.222156468709904809948546833


576h3,-4,(-10 : 4*s : 1),0.444312937419809619897093667


576h4,1,(10 : 8 : 1),0.444312937419809619897093667


576i1,-8,(-3*s + 4 : -9*s : 1),0.134909233084647389304612921


576i2,12,(3*s + 4 : 36 : 1),0.269818466169294778609225841


576i3,-8,(4*s - 6 : -28*s + 64 : 1),0.539636932338589557218451683


576i4,33,(3*s + 13 : 18*s - 126 : 1),0.488949177098987475600012333


576i5,-84,(-14 : -72*s : 1),1.31824327659681045931306876


576i6,264,(46 : 18*s : 1),0.808637213786062144508587128


