CremonaReference,Discriminant,Point,Height,Provable
333a1,-15,(-1 : 1/2*(3*s - 1) : 1),0.316316859601171706376165326,0

333a2,12,(11/4 : 1/16*(111*s - 8) : 1),0.341892387607127433655661108,0

333a3,717,(1/2*(3*s + 69) : 18*s - 487 : 1),2.72009707579639634940672776,0

333b1,-3,(1/2*(3*s + 5) : 1/2*(3*s + 11) : 1),0.240146920936845477823045265,0

333b2,21,(-3*s + 16 : 1/2*(39*s - 151) : 1),0.314836669323741187859367211,0

333c1,-3,(1/2*(-s - 1) : 1/2*(-s + 1) : 1),0.240146920936845477823045265,1

333c2,-3,(1/2*(3*s + 5) : 1/2*(9*s - 5) : 1),0.344910554796757284220280368,0

333d1,-3,(0 : 1/2*(-3*s - 1) : 1),0.0511114082399688402358861004,1

