CremonaReference,Discriminant,Point,Height
585a1,-3,(1/2*(-15*s + 11) : 1/2*(75*s + 61) :  1),0.197947061193141512591342023




585a2,1,(28 : -82 : 1),0.395894122386283025182684045


585b1,-3,(-10 : 1/2*(-39*s - 1) : 1),0.255646730432616517028304131


585b2,-312,(-33/2 : 1/8*(-15*s - 4) : 1),0.449047173896310969752698575


585c1,-3,(1/2*(-5*s - 3) : 1/2*(-5*s - 21) : 1),0.197947061193141512591342023


585c2,-3,(-9 : 1/2*(-15*s + 9) : 1),0.395894122386283025182684045


585d1,5,(1/2*(-3*s + 1) : 3*s + 7 : 1),0.216835807199018817801166884


585d2,12,(1/2*(-3*s + 6) : 9*s - 14 : 1),0.230821943364460017787882677


585e1,-39,(-8 : 1/2*(39*s - 1) : 1),0.492375070262214181425849288


585f1,-84,(-12 : 1/2*(-9*s + 12) : 1),0.590291323028663228966732594


585f2,429,(1/2*(-3*s + 15) : 3*s - 33 : 1),0.683136623822083243654020902


585f3,69,(-3*s - 6 : 1/2*(39*s + 663) : 1),0.577584672925008245024378769


585f4,-120,(18 : 1/2*(-27*s - 18) : 1),0.690092548066466208682981665


585f5,253,(13 : 1/2*(325*s - 13) : 1),1.58043341698606298144437600


585f6,1,(-30 : 600 : 1),0.693106901676843126506664026


585f7,949,(-87 : 1/2*(1575*s + 87) : 1),3.70811496567310760991489754


585f8,728,(30 : 90*s - 15 : 1),2.67106011424342944240154839


585g1,1,(-1 : -5 : 1),0.0995172561514167819149880405


585h1,-3,(3 : 1/2*(-3*s - 3) : 1),0.375514098661266321804472877


585h2,-3,(-9 : 1/2*(-39*s + 9) : 1),0.187757049330633160902236438


585i1,1,(8 : -68 : 1),0.0376711581370871507059230084


