CremonaReference,Discriminant,Point,Height
618a1,-3,(-2 : -s + 1 : 1),0.208926368439711267972198690


618b1,-123,(-10 : -16*s + 5 : 1),0.671464320094380602874622566


618c1,8,(1/2*(3*s - 2) : -3/2*s : 1),0.561135461399941186167636570


618c2,8,(-s + 1 : -5*s + 5 : 1),0.264338968964154164939624748


618d1,-11,(-3 : -27*s + 1 : 1),0.290926053249758392919001073


618d2,-127,(1/2*(-9*s - 15) : 99*s + 532 : 1),0.966802883576930636392370669


618e1,1,(-1 : 2 : 1),0.148832905002588924525628458


618f1,1,(10 : 19 : 1),0.0224686032666683158342447307


618g1,-87,(-20 : -2*s + 10 : 1),0.533184910137681077541382315


