CremonaReference,Discriminant,Point,Height,Provable
1116a1,1,(9 : 9 : 1),0.138376171542203760316547108,0

1116b1,-3,(5 : -9*s : 1),0.0466439957664831020692336184,0

1116c1,-3,(1 : -9*s : 1),0.0593206218603571396033637140,0

1116d1,-15,(3*s - 1 : 9*s - 36 : 1),0.168009841130652557361275482,0

1116d2,-15,(-13 : 18*s : 1),0.336019682261305114722550965,0

1116e1,-372,(-10 : -3/2*s : 1),0.446519652494510557925074352,0

1116e2,-3,(6*s - 1 : 6*s + 27 : 1),0.173510231294224759150079598,0

1116f1,141,(35 : 81*s : 1),0.635258664654946392960139601,0

1116f2,NA,NA,E1,NA

