CremonaReference,Discriminant,Point,Height,Provable
1360a1,-8,(1 : -10*s : 1),0.872052614462424230750340177,0

1360a2,-4,(-4*s - 5 : 8*s + 38 : 1),0.626953234955147511256940876,0

1360a3,136,(s + 5 : 7*s - 68 : 1),0.544847502498260561426084673,0

1360a4,-7,(1 : 20*s : 1),0.651589083424891470202616229,0

1360b1,1,(-2 : 4 : 1),0.293431207086289616632263245,0

1360c1,85,(-s + 25 : -9*s - 85 : 1),0.122079135375170367747767725,0

1360c2,1,(56 : 250 : 1),0.244158270750340735495535449,0

1360d1,-68,(-24 : 40*s : 1),0.0842427506221853871690680949,0

1360d2,28,(8 : -680*s : 1),0.0458207852817410660881366592,0

1360e1,-4,(-4 : -3/2*s : 1),0.436135862733741277469828845,0

1360e2,-4,(3*s - 1 : 6*s - 14 : 1),0.218067931366870638734914423,0

1360f1,-132,(16 : -170*s : 1),1.06072728859794457367337863,0

1360f2,-52,(12 : -272*s : 1),0.951812291268735994299521937,0

1360f3,332,(-12 : -80*s : 1),1.05822583403899001746355336,0

1360f4,492,(36 : 200*s : 1),1.08118356108367742882429071,0

1360g1,1,(4 : 10 : 1),0.370774949830209112278738077,0

1360g2,-8,(5*s + 2 : 15*s - 40 : 1),0.185387474915104556139369039,0

1360h1,1,(9 : 8 : 1),0.138169166520359472793040979,0

1360i1,1,(20 : 80 : 1),0.237034352782591550505383489,0

1360i2,-20,(-20 : -16*s : 1),0.455311812132233285862804260,0

1360j1,-4,(0 : 10*s : 1),0.205134543967881609691468002,0

1360j2,-4,(4 : -20*s : 1),0.102567271983940804845734001,0

