CremonaReference,Discriminant,Point,Height
2145a1,77,(-2 : 1/2*(-45*s - 1) : 1),0.318121985220448201179172436


2145b1,1,(2 : -5 : 1),0.308386628649789485711592378


2145c1,5,(1/2*(9*s + 21) : 1/2*(-45*s - 123) :  1),0.145284785784631601311415895




2145c2,5,(-7 : 1/2*(-39*s + 7) : 1),0.290569571569263202622831790


2145d1,-11,(-12 : 780*s + 6 : 1),2.06978655006066826767451230


2145d2,-3,(-11 : 1/2*(3003*s + 11) : 1),1.68010480755890494290968828


2145d3,-987,(19 : 1/2*(-169*s - 19) : 1),1.62378829814381509414861794


2145d4,-564,(51/2 : 1/8*(1125*s - 102) : 1),1.48398247953316992805988294


2145e1,NA,NA,E1


2145e2,NA,NA,E1


2145e3,273,(7 : 3564*s - 4 : 1),5.44847445658954224758284020


2145e4,NA,NA,E1


2145e5,-391,(-12 : 1/2*(12675*s + 11) : 1),1.24032683494789875110166238


2145e6,NA,NA,E1


2145e7,NA,NA,E1


2145e8,-244,(-9/2 : 1/8*(-159705*s + 14) : 1),2.00844663681925614525974031


2145f1,5,(1/2*(s + 5) : 1/2*(-s - 11) : 1),0.176801878342009411220090783


2145f2,5,(0 : 1/2*(-39*s - 1) : 1),0.353603756684018822440181566


2145g1,-120,(0 : -s : 1),1.03277411576396558448185648


2145g2,-120,(-s + 4 : 1/2*(-7*s - 34) : 1),0.516387057881982792240928242


2145g3,12,(1/2*(3*s + 28) : 1/2*(15*s + 40) : 1),0.589760379210975188117569028


2145g4,-7,(-5*s : 1/2*(-15*s - 15) : 1),0.562382750577004940923160007


2145h1,NA,NA,E1


