CremonaReference,Discriminant,Point,Height
1085a1,-3,(1/2*(5*s + 7) : -10*s - 3 : 1),0.284448612293899131901172393


1085b1,65,(7 : 1/2*(217*s - 1) : 1),0.202857529375511110562722230


1085c1,1,(1 : -3 : 1),0.325540210416157637431148863


1085c2,5,(s + 6 : -4*s + 7 : 1),0.162770105208078818715574432


1085d1,-280,(-13/2 : 1/8*(31*s - 4) : 1),0.683088662193473431196870242


1085e1,-19,(1/2*(-s + 1) : 1/2*(3*s - 9) : 1),0.687573762694833074642723658


1085e2,113,(-s + 3 : 1/2*(5*s - 21) : 1),0.864640320943521268188005392


1085e3,-87,(2 : 1/2*(31*s - 3) : 1),0.895154742196479686061100924


1085e4,33,(-18 : 1/2*(-49*s + 17) : 1),0.784760150177805127042139610


1085f1,-664,(-9/2 : 1/8*(-625*s - 4) : 1),1.27564044811705473948905253


1085g1,-35,(0 : 1/2*(-s - 1) : 1),0.301293999098333209204374372


1085h1,1,(-45 : 1937 : 1),0.716312074830962497385959454


