CremonaReference,Discriminant,Point,Height
2530a1,33,(13 : 1/2*(5*s - 13) : 1),0.658435082815119850771093413


2530a2,-7,(1/2*(-5*s - 25) : 1/2*(15*s + 235) :  1),0.399392378419342576241878929




2530a3,-263,(-7 : 1/2*(75*s + 7) : 1),1.77224191667662688190148945


2530a4,-7,(-5 : 1/2*(-115*s + 5) : 1),0.764740617122864463686915136


2530b1,-11,(-5*s + 11 : 45*s + 22 : 1),0.238967740922773462507377209


2530c1,1,(5 : -14 : 1),0.300990558697658080784486761


2530d1,-4,(-2 : 1/2*(5*s + 2) : 1),0.205176003358215564569243812


2530e1,33,(5 : 20*s - 3 : 1),0.164923011363933010705369874


2530f1,-15,(-2*s - 2 : -8*s - 24 : 1),0.136242079077771607515276066


2530f2,-115,(1 : 1/2*(-165*s - 1) : 1),0.931541577045287606209621814


2530g1,1,(-5 : 13 : 1),0.130382583982555522920482065


2530h1,-7,(6*s - 4 : -50*s - 25 : 1),0.328919621490315954744267715


2530h2,-991,(-6 : 46*s + 3 : 1),1.56717959916228866164884872


2530i1,93,(11 : 1/2*(275*s - 11) : 1),1.19504840209719101320863117


2530i2,NA,NA,E1


2530j1,60,(-s + 5 : 3*s - 23 : 1),0.788795880703403384611619182


2530j2,-19,(s - 1 : 1/2*(-5*s + 31) : 1),0.492525643066250414940208179


2530j3,156,(-s + 1 : 1/2*(9*s + 108) : 1),0.910262301245589273585710749


2530j4,93,(10/3 : 1/18*(55*s - 39) : 1),0.853191523987506199222976077


2530k1,1,(53 : -142 : 1),0.264420113728186959804749889


2530l1,-4,(1 : -115*s - 1 : 1),0.755025849260093825430535874


