CremonaReference,Discriminant,Point,Height
681a1,1,(4 : -5 : 1),0.225168906620665256652658623


681b1,77,(1/2*(-9*s + 37) : 1/2*(45*s - 347) :  1),0.433100627241492551905510125




681b2,413,(1/2*(-3*s + 21) : 1/2*(-3*s + 81) : 1),1.17627305816185238991454387


681b3,-115,(-3*s - 4 : 1/2*(-33*s - 557) : 1),0.635134263520507766101201958


681b4,-235,(1 : 1/2*(-27*s - 1) : 1),1.21578594210784575682687475


681c1,1,(0 : -2 : 1),0.188873861430964359358267413


681d1,-3,(-11 : 1/2*(9*s - 1) : 1),0.272683341766954795985885713


681e1,1,(7 : -5 : 1),0.0917557880140435536482416554


