CremonaReference,Discriminant,Point,Height
574a1,1,(-1 : 0 : 1),0.362740320541589097331113392


574b1,5,(10 : -56*s - 5 : 1),0.153532894618007181572943105


574b2,5,(8 : -49*s - 4 : 1),0.307065789236014363145886210


574c1,-7,(1/2*(7*s + 3) : -14*s + 22 : 1),0.545919133814289775439284743


574c2,-3,(-12 : -14*s + 6 : 1),0.197573385377715234732794839


574d1,77,(-49/9 : 1/27*(-7168*s + 60) : 1),1.19085303119028237014043035


574d2,253,(23 : 896*s - 12 : 1),1.97013829081135291126753214


574e1,-4,(-4 : -s + 2 : 1),0.209199713870882438885310333


574f1,-4,(-2*s + 5 : -8*s - 5 : 1),0.235189265699853967526105357


574f2,-19,(-21 : -14*s + 10 : 1),0.424790546966682717724645377


574g1,1,(-1 : 4 : 1),0.0843023413924951564368588238


574h1,-7,(s : -s + 3 : 1),0.144735553381476088986989522


574h2,21,(s + 1 : 1/2*(-5*s + 5) : 1),0.287941181175225001979068911


574i1,1,(-9 : -1060 : 1),1.06738248168784548758405960


574i2,NA,NA,E1


574j1,8,(1/2*(-7*s - 10) : 1/2*(7*s + 32) : 1),0.348808814873068521632255795


574j2,-779,(-72 : 1/2*(s + 71) : 1),2.34437002068919954299332957


