CremonaReference,Discriminant,Point,Height,Provable
880a1,-4,(1/2*(s + 2) : 1/2*(s + 4) : 1),0.197444486437195849848304028,0

880a2,12,(-s + 1 : -2*s - 2 : 1),0.247164995292356154604258832,0

880b1,12,(1/2*(-5*s + 22) : 1/2*(-25*s + 80) :  1),0.0852899814537405628822537085,0


880b2,12,(-1 : 5*s : 1),0.170579962907481125764507417,0

880c1,-164,(-32 : 15/2*s : 1),1.41100140352102902897889368,0

880c2,-11,(-5*s - 28 : 45*s + 165 : 1),0.337234852842652078707719653,0

880c3,1,(-13 : -330 : 1),0.674469705685304157415439306,0

880c4,-151,(1/2*(5*s - 59) : 30*s - 40 : 1),0.800803797372852201338567478,0

880d1,1,(-3 : 20 : 1),0.0540950254763468436928029072,0

880e1,-20,(-12 : -16*s : 1),0.192601332061457276053701449,0

880e2,-20,(-4 : -80*s : 1),0.0642004440204857586845671490,0

880f1,-20,(-4 : 2*s : 1),0.165868134660967983229967951,0

880f2,1,(16 : 88 : 1),0.153686946968676890287979114,0

880g1,-4,(4*s + 2 : 4*s + 56 : 1),0.127112969997718109181176757,0

880g2,205,(-8 : 242*s : 1),1.86788843561505262271744512,0

880h1,-20,(1 : 1/2*s : 1),0.205172181382787473046923707,0

880h2,-20,(-6 : -s : 1),0.410344362765574946093847415,0

880i1,-15,(s : -s + 1 : 1),0.695337624100564471328701990,0

880i2,-7,(-5*s + 8 : -25*s - 5 : 1),0.569178576201400074252321901,0

880i3,-84,(-3 : 10*s : 1),0.519798003438154028721542645,0

880i4,12,(-2*s + 1 : -8*s - 52 : 1),0.329657945005665710769639656,0

880j1,56,(1/2*(-5*s + 30) : 1/2*(-25*s + 190) :  1),0.383113618923414069255457336,0


880j2,-4,(s - 2 : 2*s - 22 : 1),0.365678561115811430181244687,0

880j3,5,(1/2*(11*s + 29) : -11*s - 77 : 1),0.455880438688842515351977835,0

880j4,812,(20 : 11*s : 1),1.22048232346003512827812118,0

