CremonaReference,Discriminant,Point,Height,Provable
254a1,1,(0 : 6 : 1),0.431342824271664749369385174,0

254a2,-56,(1/2*(s - 24) : s + 28 : 1),0.478518007130255743329734089,0

254a3,-744,(-20 : 1/2*(73*s + 20) : 1),4.26416029427576141820863289,0

254b1,-8,(-1/2*s : 0 : 1),0.452401570683796977852892256,1

254b2,13,(s + 2 : 1/2*(-5*s - 11) : 1),0.367454009533967644628493846,0

254c1,-3,(0 : -s : 1),0.259980439961164167498090054,1

254d1,-7,(2*s + 5 : -8*s - 6 : 1),0.613460746368980238733240406,0

254d2,17,(2*s + 3 : -9*s + 29 : 1),0.323299916323309467073737819,0

254d3,17,(-6*s + 19 : 27*s - 171 : 1),0.646599832646618934147475639,0

254d4,285,(42 : 1/2*(-s - 43) : 1),1.10633312514375438563947732,0

