CremonaReference,Discriminant,Point,Height
900a1,60,(10 : 15*s : 1),0.789186354615504404888392071


900a2,-740,(-50 : 25*s : 1),1.43022014465326635132834212


900b1,-35,(-10 : 5*s : 1),0.526895372480598475024495029


900b2,40,(5 : 5*s : 1),0.326617338771488428260076769


900b3,-39,(3*s - 3 : 9*s - 54 : 1),0.504895533780355566727540405


900b4,-120,(-15 : 15*s : 1),0.326617338771488428260076769


900c1,-4,(-3*s + 2 : 6*s + 6 : 1),0.263062118205168134962797357


900c2,-4,(-6 : 27*s : 1),0.789186354615504404888392071


900d1,1,(16 : 54 : 1),0.114155808571842368057277583


900d2,205,(40 : 18*s : 1),0.988501032963341581880403517


900e1,1,(40 : 225 : 1),0.326221266817101401343868164


900e2,-20,(5*s - 15 : 25*s + 100 : 1),0.163110633408550700671934082


900e3,165,(40 : -15*s : 1),0.485506214408242400879155470


900e4,120,(-35 : 75*s : 1),0.137812304669720818315680349


900f1,60,(-10 : -45*s : 1),0.159999281025199233568710217


900f2,NA,NA,E1


900g1,-15,(-10 : -45*s : 1),0.121183932812153086174497651


900g2,-15,(-25 : 150*s : 1),0.242367865624306172348995302


900h1,-3,(-2 : -9*s : 1),0.121183932812153086174497651


900h2,-3,(-5 : 30*s : 1),0.242367865624306172348995302


