CremonaReference,Discriminant,Point,Height
210a1,5,(-4*s + 6 : 12*s - 33 : 1),0.457392279144492172156625017


210a2,28,(1/2*(-3*s + 34) : 9*s - 61 : 1),0.332003177595116649726192475


210a3,-195,(-35 : 1/2*(7*s + 35) : 1),0.931082599216301681791884067


210a4,85,(35 : 1/2*(-21*s - 35) : 1),0.699298915981525566992872961


210a5,13,(-5*s + 1 : -5*s + 82 : 1),0.396831944871015526142714579


210a6,204,(1/2*(-7*s + 46) : 14*s - 211 : 1),0.451891936180881906939435607


210a7,492,(-4 : 1/2*(-35*s + 4) : 1),1.15977408026186842891116787


210a8,-68,(-12 : 1/2*(105*s + 12) : 1),0.735928569258295750921195182


210b1,21,(s + 8 : -6*s + 21 : 1),0.453901734259740671098248439


210b2,-11,(-3*s + 6 : -18*s - 47 : 1),0.467198911432381541463714637


210b3,-55,(1/2*(7*s - 31) : 1/2*(21*s - 395) :  1),0.542665373673103180115848878




210b4,-119,(-21 : 15*s + 10 : 1),0.743005293607925041326921565


210b5,-119,(1/2*(-3*s - 73) : -27*s + 170 : 1),0.528412490578894508534400458


210b6,-187,(3 : 84*s - 2 : 1),1.06622113507117033706975581


210b7,-655,(-61 : 300*s + 30 : 1),3.18728617436158258816650030


210b8,-55,(35 : 196*s - 18 : 1),0.542665373673103180115848878


210c1,-3,(s : 2*s + 1 : 1),0.155914135628231476478595377


210c2,-20,(1/2*(-s - 4) : -2*s - 7 : 1),0.231620422709341492216796043


210c3,-20,(1/2*(-5*s - 36) : 5*s + 91 : 1),0.463240845418682984433592086


210c4,-3,(11 : -7*s - 6 : 1),0.155914135628231476478595378


210c5,-308,(-33 : 1/2*(65*s + 32) : 1),2.54578455235886473657106695


210c6,-11,(-5*s - 17 : 1/2*(-15*s - 199) : 1),0.308082781482212439293532798


210d1,5,(-s + 1 : -s + 2 : 1),0.133161645238936140481866864


210d2,1,(4 : 3 : 1),0.266323290477872280963733727


210d3,40,(1/2*(-s + 28) : -3*s + 13 : 1),0.133161645238936140481866864


210d4,8,(1/2*(-5*s + 12) : -10*s + 17 : 1),0.133161645238936140481866864


210e1,-119,(s + 1 : -2*s - 32 : 1),0.541504247511651453960402667


210e2,-20,(1/2*(9*s + 38) : 1/2*(-81*s + 26) :  1),0.423389111066096568893309489




210e3,-39,(-30 : -35*s + 15 : 1),0.651589277105504008918987904


210e4,13,(-16 : 270*s + 8 : 1),0.565144141265642743176195883


210e5,-715,(50 : 175*s - 25 : 1),2.05463983705372039968687743


210e6,-11,(19 : 1/2*(-525*s - 19) : 1),0.650582857532342293924806447


210e7,-584,(12 : 1/2*(-2679*s - 12) : 1),6.64899315972309936813438021


210e8,-435,(-29 : 1/2*(-343*s + 29) : 1),0.710326404226386503874666938


