CremonaReference,Discriminant,Point,Height,Provable
1680a1,5,(-s + 1 : -3*s - 5 : 1),0.310375141472503658304299632,0

1680a2,-20,(-s + 6 : 5*s - 2 : 1),0.586537023690128265451267808,0

1680a3,-40,(-s - 12 : 3*s + 40 : 1),0.310375141472503658304299632,0

1680a4,-8,(5*s - 4 : -5*s - 40 : 1),0.310375141472503658304299632,0

1680b1,92,(-17 : -315/2*s : 1),0.648407327131037259846070470,0

1680b2,44,(-6 : 189*s : 1),0.448626163897534822679186841,0

1680b3,-31,(29 : 1134*s : 1),1.30019041653938276415985740,0

1680b4,8,(3 : 2205/2*s : 1),0.542985050106372351529386955,0

1680c1,-4,(1/2*(-3*s + 4) : 1/2*(9*s + 24) : 1),0.124160062566952522129876913,0

1680c2,-4,(-14 : -15*s : 1),0.248320125133905044259753825,0

1680c3,-40,(4 : 42*s : 1),0.607876641613825114298476973,0

1680c4,-4,(0 : -36*s : 1),0.496640250267810088519507651,0

1680d1,-68,(1/2*(s - 4) : 1/2*(s - 16) : 1),0.573741182559800440877152221,0

1680d2,28,(-4*s + 10 : 11*s - 56 : 1),0.621223605686741835956286160,0

1680d3,-440,(-36 : -6*s : 1),1.00716436991339778699646846,0

1680d4,-20,(-s + 10 : 17*s + 10 : 1),0.310611802843370917978143080,0

1680d5,1,(44 : 20 : 1),0.621223605686741835956286161,0

1680d6,-264,(2*s - 12 : 10*s + 180 : 1),0.830719473217239409574504602,0

1680e1,44,(1/2*(5*s + 28) : 1/2*(25*s + 180) : 1),0.513076146618218115670102153,0

1680e2,12,(-8 : -15*s : 1),0.384899278990986690637185936,0

1680e3,-3,(-6 : -20*s : 1),0.694601607377587775033872917,0

1680e4,124,(s + 24 : 9*s - 102 : 1),0.472649776908569151377811592,0

1680f1,-4,(-3/2*s : -3/2*s : 1),0.222631847184005411761561164,0

1680f2,-3,(-s - 3 : -s - 9 : 1),0.377944616158757184848573558,0

1680f3,-3,(12 : -50*s : 1),0.755889232317514369697147116,0

1680f4,8,(-2*s + 2 : -8*s - 36 : 1),0.573959743679576132499812894,0

1680g1,21,(s + 5 : 5*s - 21 : 1),0.177249051781860180573240462,0

1680g2,28,(-3*s : 3*s + 42 : 1),0.0886245258909300902866202312,0

1680g3,-56,(3*s - 14 : -15*s + 168 : 1),0.177249051781860180573240462,0

1680g4,1,(-6 : 84 : 1),0.177249051781860180573240462,0

1680h1,-120,(-10 : 7/2*s : 1),0.959746780880735928635710374,0

1680h2,-15,(1/2*(-7*s - 43) : 7*s - 105 : 1),0.451176326267136181754424961,0

1680h3,76,(3*s + 32 : 15*s + 210 : 1),0.729427879020413355247219310,0

1680h4,-120,(6 : 14*s : 1),0.690113502733449107744031619,0

1680h5,104,(26 : 90*s : 1),0.920065417443839670591152048,0

1680h6,13,(6 : 108*s : 1),0.598522595208426820238513126,0

1680i1,12,(1/2*(-5*s + 12) : 1/2*(-15*s + 60) : 1),0.254603017961278081518932112,0

1680i2,5,(3*s + 1 : -9*s + 15 : 1),0.369298808971213704721912828,0

1680i3,5,(4*s + 18 : 32*s - 72 : 1),0.738597617942427409443825657,0

1680i4,60,(-s - 4 : s - 30 : 1),0.229040399436006586859950282,0

1680j1,92,(1/2*(-5*s + 32) : 1/2*(-25*s + 240) : 1),0.696993188557598147176743744,0

1680j2,-3,(10*s : -40*s + 60 : 1),0.407198727870057284003266002,0

1680j3,-20,(-s + 20 : -9*s + 30 : 1),0.321351804491965476765056209,0

1680j4,-24,(6 : -10*s : 1),0.498564295300688251518776418,0

1680j5,88,(26 : -42*s : 1),0.848945193296612018380417133,0

1680j6,8,(-14 : -42*s : 1),0.433131844558194767364754500,0

1680k1,-7,(-3*s - 7 : 9*s + 93 : 1),0.664006355190233299452384950,0

1680k2,-52,(-8 : -48*s : 1),0.793663889742031052285429159,0

1680k3,460,(28 : 70*s : 1),0.957212022192527694113317195,0

1680k4,-852,(-28 : 98*s : 1),1.93265889587849013319472424,0

1680k5,-52,(36 : -90*s : 1),0.396831944871015526142714579,0

1680k6,13,(6 : -490*s : 1),0.636273197762549539824455438,0

1680k7,-123,(16 : -280*s : 1),1.15977408026186842891116787,0

1680k8,152,(-57 : -525/2*s : 1),1.07250421133466226474337629,0

1680l1,56,(1/2*(3*s + 14) : 1/2*(9*s + 66) : 1),0.479956057662560401229780682,0

1680l2,-68,(-s - 2 : 2*s + 22 : 1),0.413637346774934934836211909,0

1680l3,12,(7 : 7/2*s : 1),0.458767976003598279728823503,0

1680l4,24,(6 : -21*s : 1),0.665404150618726357580605971,0

1680m1,-84,(4 : 60*s : 1),0.453901734259740671098248440,0

1680m2,-356,(2*s - 44 : 8*s - 596 : 1),0.828226484995959548662348337,0

1680m3,492,(-44 : -64*s : 1),0.825807343727238345852338335,0

1680m4,476,(-56 : -150*s : 1),1.11324570384005983082448407,0

1680m5,-127,(-22 : 126*s : 1),1.36610748549178567209972782,0

1680m6,748,(-12 : -336*s : 1),1.06622113507117033706975581,0

1680m7,NA,NA,E1,NA

1680m8,860,(56 : -294*s : 1),1.00381007796971106163640791,0

1680n1,12,(2*s + 4 : 4*s + 12 : 1),0.335277802558839731104045144,0

1680n2,12,(0 : -6*s : 1),0.518830022815148767654055320,0

1680n3,12,(0 : 50*s : 1),0.259415011407574383827027661,0

1680n4,12,(0 : 14*s : 1),0.259415011407574383827027661,0

1680o1,12,(5 : -5/2*s : 1),0.217450831045239823045274862,0

1680o2,-20,(0 : -s : 1),0.275392819911546974017893327,0

1680p1,28,(24 : 36*s : 1),0.621045073666088502878543599,0

1680p2,92,(-40 : 36*s : 1),1.16294254894448839461934709,0

1680p3,-148,(-44 : -486*s : 1),0.730985352078004763429452180,0

1680p4,76,(-20 : 490*s : 1),1.09985558038693272600969767,0

1680p5,309,(80 : -1680*s : 1),1.66525470088123161609076014,0

1680p6,204,(24 : 500*s : 1),0.721009056155005422207750496,0

1680p7,584,(-48 : -10716*s : 1),6.64899315972309936813438021,0

1680p8,712,(3 : -2409/2*s : 1),7.18348275655779251377013552,0

1680q1,28,(-23 : -45/2*s : 1),0.0836318428427851925746223303,0

1680q2,-8,(-11/2 : 2025/8*s : 1),0.523505265182574671592204588,0

1680r1,-4,(-10 : 8*s : 1),0.532646580955744561927467456,0

1680r2,-4,(2 : 30*s : 1),0.266323290477872280963733728,0

1680r3,-15,(-18 : 72*s : 1),0.633832160933445398790666152,0

1680r4,-3,(14 : 40*s : 1),0.490708629217048478282258151,0

1680s1,-20,(-13 : -3/2*s : 1),0.190392651967462386043581100,0

1680s2,-20,(-3*s - 12 : 6*s + 78 : 1),0.0951963259837311930217905500,0

1680t1,12,(6 : 14*s : 1),0.623656542512925905914381510,0

1680t2,12,(-2/3 : 280/9*s : 1),0.311828271256462952957190755,0

1680t3,-8,(10 : 168*s : 1),0.982956354663796877960704978,0

1680t4,44,(30 : -90*s : 1),0.616165562964424878587065596,0

1680t5,440,(10 : -340*s : 1),3.46866485980587408347986585,0

1680t6,364,(46 : -30*s : 1),0.548539009116451749010278788,0

