CremonaReference,Discriminant,Point,Height
438a1,-23,(-3*s - 5 : -18*s - 80 : 1),0.455620865405837283610300121


438a2,-23,(3*s + 11 : -45*s - 67 : 1),0.227810432702918641805150061


438a3,-291,(-59 : 1/2*(219*s + 59) : 1),1.47711811370995854758215080


438a4,-215,(38 : -219*s - 19 : 1),0.719656499050818690107010496


438b1,-3,(-4 : -3*s + 2 : 1),0.369086743438693996230758201


438b2,-3,(-3*s : 1/2*(-9*s - 15) : 1),0.184543371719346998115379101


438c1,1,(-2 : 3 : 1),0.375017304678027234573273510


438c2,-4,(s - 6 : -2*s - 5 : 1),0.187508652339013617286636755


438d1,37,(3 : 27*s - 2 : 1),0.529961598452333114197938902


438d2,253,(3*s + 54 : -45*s + 664 : 1),1.09390251694346322883196260


438d3,1,(-66 : -77 : 1),0.525028127742840438281050160


438d4,69,(2*s + 45 : 78*s - 356 : 1),0.690108053902319989214938008


438e1,-3,(-11 : -12*s + 5 : 1),0.183736811915787044301368928


438e2,-15,(-8 : 1/2*(-73*s + 7) : 1),0.852798201796253621140044853


438f1,1,(11 : 30 : 1),0.665344542045102081416474848


438f2,8,(1/2*(-9*s + 14) : 1/2*(33*s - 80) : 1),0.332672271022551040708237424


438f3,-19,(-24 : 1/2*(3*s + 23) : 1),0.585200582179858239054342477


438f4,-24,(1/2*(3*s + 2) : -9*s - 4 : 1),0.551900983446353451239411358


438g1,1,(0 : -2 : 1),0.214019018158762699350728980


438g2,12,(1/2*(s + 6) : 1/2*(5*s - 16) : 1),0.107009509079381349675364490


