CremonaReference,Discriminant,Point,Height,Provable
1044a1,-984,(-15/2 : -87/8*s : 1),1.25654187357933601393169371,0

1044b1,-3,(-3 : -9*s : 1),0.127766310765715666213227941,0

1044c1,5,(17 : -29*s : 1),0.159344467229608791956885357,0

1044d1,1,(1 : 3 : 1),0.127766310765715666213227941,0

1044e1,-3,(1 : -3*s : 1),0.145605973483923798287243658,0

1044f1,1,(5 : 9 : 1),0.0767465424679445009412935865,0

1044g1,-15,(-11 : 81*s : 1),0.115934372127398208657084549,0

1044h1,-15,(-8 : 3*s : 1),0.294627144454450367256970300,0

1044h2,-23,(-2*s - 3 : 4*s + 26 : 1),0.503757937817107278605425251,0

1044i1,601,(-38 : 92*s : 1),5.19911505431015715530462527,0

1044j1,-696,(-19 : -3*s : 1),0.415701641733681777400334682,0

1044j2,-24,(-3*s - 1 : -3*s + 54 : 1),0.141956732204313747859788159,0

1044k1,-3,(-13 : -9*s : 1),0.114546405183450126611381626,0

