CremonaReference,Discriminant,Point,Height,Provable
2475a1,5,(9 : 1/2*(15*s - 9) : 1),0.302571384561494999176143035,0

2475a2,5,(-1 : 1/2*(55*s + 1) : 1),0.151285692280747499588071517,0

2475b1,-660,(-37/2 : 1/8*(-75*s + 70) : 1),0.483794840912673515850727651,0

2475c1,5,(-6 : 25*s + 3 : 1),0.469588794377487884020379649,0

2475d1,-15,(4 : 1/2*(15*s - 5) : 1),0.302571384561494999176143035,0

2475d2,-15,(4 : 1/2*(165*s - 5) : 1),0.151285692280747499588071517,0

2475e1,-3,(-11 : 1/2*(45*s + 11) : 1),0.117397198594371971005094912,0

2475f1,1,(4 : -10 : 1),0.117397198594371971005094912,0

2475g1,60,(-6 : 1/2*(-45*s + 6) : 1),0.241597126872717984966324750,0

2475g2,-3,(9 : 1/2*(225*s - 9) : 1),0.427217455667670201827107228,0

2475g3,-740,(33/2 : 1/8*(495*s - 66) : 1),1.30893448387105291585134509,0

2475g4,60,(24 : -45*s - 12 : 1),0.966388507490871939865299000,0

2475h1,-55,(-5 : 1/2*(5*s - 1) : 1),0.306230066563959378324962411,0

2475h2,120,(25/2 : 1/8*(165*s - 4) : 1),0.183019093150093106944844842,0

2475h3,NA,NA,E1,NA

2475i1,-3,(-2 : 1/2*(-33*s - 1) : 1),0.267281464682358651984949893,0

2475i2,1,(4 : -50 : 1),0.184495121924164829658231301,0

2475j1,-35,(1/2*(5*s + 3) : 1/2*(-15*s + 11) :  1),0.519798003438154028721542645,0


2475j2,-35,(1/2*(-5*s - 27) : -5*s - 112 : 1),0.259899001719077014360771322,0

2475j3,-35,(-11 : 1/2*(-225*s + 11) : 1),0.519798003438154028721542645,0

2475j4,-35,(5*s + 24 : 1/2*(-105*s + 551) : 1),0.519798003438154028721542645,0

2475k1,-15,(-10 : 1/2*(165*s - 1) : 1),0.267281464682358651984949893,0

2475k2,5,(20 : 1/2*(-495*s - 1) : 1),0.184495121924164829658231301,0

