CremonaReference,Discriminant,Point,Height,Provable
2655a1,-3,(-6 : 1/2*(15*s - 1) : 1),0.196090552285549755327775498,0

2655b1,-8,(1/2*(-3*s + 4) : -6*s - 11 : 1),0.505437286869769458276845754,0

2655b2,-123,(-6 : 1/2*(-45*s - 1) : 1),1.00184457594812639292692635,0

2655c1,236,(s - 4 : -2*s + 29 : 1),0.604704902234636260700493943,0

2655c2,40,(-13/2 : 1/8*(59*s - 4) : 1),1.28151729349225860867801816,0

2655d1,1,(18 : -68 : 1),0.196090552285549755327775498,0

2655e1,109,(1/2*(-3*s + 1) : 1/2*(15*s + 129) :  1),0.933965085863844799437870788,0


2655e2,28,(5*s - 2 : -15*s + 33 : 1),0.812742378177684052890602520,0

2655e3,-31,(-22 : 1/2*(-45*s + 21) : 1),1.68201679027188113545792042,0

2655e4,57,(-10 : 1/2*(-45*s + 9) : 1),0.720663542133913400652333224,0

2655f1,-3,(5 : 1/2*(9*s - 1) : 1),0.242652286042140078240641252,0

2655g1,-59,(29 : 1/2*(81*s - 1) : 1),0.726248790023939098162744603,0

2655g2,205,(-2*s - 59 : 1/2*(-53*s - 12281) : 1),2.52624603587689696885777230,0

2655h1,-15,(-17 : 1/2*(9*s - 1) : 1),0.0603085734990895671274627739,0

