CremonaReference,Discriminant,Point,Height
1960a1,-728,(-9 : 35/2*s : 1),1.32377666141250016826787872


1960b1,21,(14 : 7*s : 1),0.683761292663034636003265955


1960b2,21,(-7 : 14*s : 1),0.341880646331517318001632977


1960b3,140,(-21 : -42*s : 1),0.933393502999657243706418285


1960b4,168,(-7/3 : -70/9*s : 1),0.500528594227175502847228458


1960c1,-23,(-13 : -250*s : 1),1.55581930242028257238961614


1960d1,-7,(-14 : 350*s : 1),0.101497741880406181516777182


1960e1,-4,(5*s + 6 : 15*s + 10 : 1),0.152626368833546630921490295


1960f1,-7,(-5 : 14*s : 1),0.0974317159467516768895472699


1960g1,1,(5 : 70 : 1),0.0499174091424848652272522501


1960h1,-4,(2 : 7*s : 1),0.238960178034126692062841858


1960i1,40,(16 : -98*s : 1),0.884471571033083689503076627


1960j1,5,(7 : -2*s : 1),0.186451137436964701799065398


1960k1,-84,(-26 : -35*s : 1),0.779570498408942354238540610


1960k2,-56,(16 : 98*s : 1),0.684878870329377277924722307


1960l1,28,(-16 : -49*s : 1),0.238960178034126692062841858


1960m1,-35,(-16 : 49*s : 1),0.632260000066094336915798698


1960n1,-4,(-6 : 10*s : 1),0.0835915424634276013254019360


1960o1,-4,(-6 : 10*s : 1),0.527016934022620402582088113


1960o2,-4,(10 : 10*s : 1),0.263508467011310201291044057


