CremonaReference,Discriminant,Point,Height
1520a1,-4,(-1 : 5/2*s : 1),0.217693028628996468338931545


1520a2,-4,(-5*s : 10*s + 10 : 1),0.108846514314498234169465773


1520b1,-4,(1/2*(5*s + 6) : -15/2*s : 1),0.430617098217650214909822946


1520b2,140,(s + 5 : 2*s + 22 : 1),0.719061402339422487327665265


1520b3,-168,(-23 : -2*s : 1),0.988672724816116780473257557


1520b4,140,(s + 3 : s - 30 : 1),0.359530701169711243663832633


1520c1,764,(-61 : -125/2*s : 1),1.08855653435908978933425089


1520c2,309,(64 : 500*s : 1),2.50962443691745143552835654


1520d1,-20,(1/2*s : 1/2*s : 1),0.159557844202370271057031686


1520d2,-20,(0 : -s : 1),0.319115688404740542114063371


1520e1,1,(53 : -380 : 1),0.109123604360620431687192706


1520f1,24,(1/2*(-s + 4) : 1/2*(s - 10) : 1),0.343093684096755963103198538


1520f2,12,(1 : 5*s : 1),0.310444421865833247446813636


1520g1,-4,(-11 : -20*s : 1),0.185112103110671277318721113


1520h1,-4,(-6 : 10*s : 1),0.131821481882326275601128813


1520i1,232,(1/2*(5*s + 38) : 1/2*(25*s + 330) :  1),0.547344546693545187199897048




1520i2,-68,(2 : 25*s : 1),0.529953393305145026759063560


1520j1,1,(0 : -80 : 1),0.0887580904384115023087316406


1520j2,76,(20 : 190*s : 1),0.503280645238848136356672610


