CremonaReference,Discriminant,Point,Height,Provable
1050a1,-3,(2 : 48*s - 1 : 1),0.701376120415975166307723466,0

1050a2,65,(10 : 60*s - 5 : 1),0.793663889742031052285429159,0

1050a3,-219,(0 : -175*s : 1),1.83573172622406706580700847,0

1050a4,377,(-35 : 1/2*(525*s + 35) : 1),1.52744122039650372445534303,0

1050a5,140,(30 : 75*s - 15 : 1),0.664006355190233299452384951,0

1050a6,-260,(-15/2 : 1/8*(1225*s + 30) : 1),0.636273197762549539824455438,0

1050a7,444,(65/2 : 1/8*(-1225*s - 130) : 1),1.56564804020188068386584670,0

1050a8,-340,(-60 : 1/2*(-525*s + 60) : 1),0.735928569258295750921195182,0

1050b1,-4,(-6 : 1/2*(9*s + 6) : 1),0.129517956911257072262853662,0

1050c1,-35,(-30 : 45*s + 15 : 1),0.621045073666088502878543599,0

1050c2,-115,(50 : 45*s - 25 : 1),1.16294254894448839461934709,0

1050c3,-95,(25 : 1/2*(-1225*s - 25) : 1),1.09985558038693272600969767,0

1050c4,185,(55 : 1/2*(1215*s - 55) : 1),0.730985352078004763429452180,0

1050c5,-455,(50 : -2175*s - 25 : 1),3.48067727765465532774344403,0

1050c6,-255,(-30 : -625*s + 15 : 1),0.721009056155005422207750496,0

1050c7,NA,NA,E1,NA

1050c8,NA,NA,E1,NA

1050d1,-231,(-35 : 1/2*(-5*s + 35) : 1),0.325693375848637592371423087,0

1050d2,-11,(10 : 175*s - 5 : 1),0.454610420035869475060586284,0

1050e1,21,(2*s + 2 : -2*s - 22 : 1),0.0788051119502386884805197985,0

1050e2,1,(4 : 40 : 1),0.157610223900477376961039597,0

1050f1,-3,(9 : 288*s - 5 : 1),0.0907523080035858924114183337,0

1050g1,-3,(-1 : -28*s : 1),0.525646346413403499686685191,0

1050g2,-55,(1/2*(-5*s - 41) : 1/2*(15*s + 357) : 1),0.308082781482212439293532798,0

1050g3,-55,(-38 : 1/2*(-225*s + 37) : 1),0.616165562964424878587065596,0

1050g4,-55,(-5*s + 17 : 1/2*(105*s + 957) : 1),0.616165562964424878587065596,0

1050g5,-88,(-13 : 1/2*(-2125*s + 12) : 1),3.46866485980587408347986585,0

1050g6,-455,(-58 : 1/2*(75*s + 57) : 1),0.548539009116451749010278788,0

1050h1,-15,(1/2*(-5*s + 9) : 1/2*(-15*s - 43) : 1),0.174386829294714933740414249,0

1050h2,21,(-3*s + 10 : -24*s - 100 : 1),0.0871934146473574668702071247,0

1050h3,1,(-7 : -186 : 1),0.174386829294714933740414249,0

1050h4,209,(37 : -75*s - 19 : 1),2.00781129822984897119033949,0

1050h5,1,(-82 : 114 : 1),0.348773658589429867480828499,0

1050h6,1,(42 : -809 : 1),0.348773658589429867480828499,0

1050i1,5,(3*s + 2 : -9*s + 21 : 1),0.0421897341200704683336165508,0

1050i2,1,(-3 : 46 : 1),0.0843794682401409366672331016,0

1050j1,21,(3*s + 14 : 15*s + 66 : 1),0.297496097262522350804608449,0

1050j2,-3,(7 : 40*s - 4 : 1),0.552621674279914303939711304,0

1050k1,105,(-5 : 75*s + 2 : 1),0.453901734259740671098248440,0

1050k2,65,(15 : 45*s - 8 : 1),1.17451223954844391918621193,0

1050k3,-615,(55 : 80*s - 28 : 1),0.825807343727238345852338335,0

1050k4,-595,(70 : 1/2*(-375*s - 71) : 1),1.11324570384005983082448407,0

1050k5,269,(-4 : 1/2*(189*s + 3) : 1),1.59257498311222467304171539,0

1050k6,-935,(15 : 420*s - 8 : 1),1.06622113507117033706975581,0

1050k7,NA,NA,E1,NA

1050k8,-291,(0 : 1/2*(1575*s - 1) : 1),2.93206410339044114738343672,0

1050l1,-20,(-15 : -25*s + 7 : 1),0.318058348272863480135431138,0

1050l2,-95,(15 : 70*s - 8 : 1),0.671441809022441040328247656,0

1050m1,5,(10 : 1/2*(-225*s - 11) : 1),0.168758936480281873334466203,0

1050m2,5,(-15 : -225*s + 7 : 1),0.0843794682401409366672331016,0

1050n1,-967,(-15 : -150*s + 7 : 1),1.50433387155749374352499027,0

1050o1,-20,(1/2*(3*s + 14) : 12*s + 4 : 1),0.0702509112405065706680134521,0

1050o2,NA,NA,E1,NA

1050p1,5,(-5*s + 7 : -10*s + 34 : 1),0.133161645238936140481866864,0

1050p2,60,(1/2*(5*s - 6) : 1/2*(-15*s + 78) : 1),0.245354314608524239141129075,0

1050p3,12,(22 : 1/2*(225*s - 22) : 1),0.633832160933445398790666152,0

1050p4,60,(2 : 1/2*(35*s - 2) : 1),0.490708629217048478282258151,0

1050q1,-35,(-13 : 1/2*(15*s + 13) : 1),0.132387600830581347345471257,0

1050r1,-15,(12 : -35*s - 6 : 1),0.102140448943279824287759314,0

1050r2,5,(22 : -210*s - 11 : 1),0.157610223900477376961039597,0

