CremonaReference,Discriminant,Point,Height
2346a1,133,(0 : -612*s : 1),2.53529477228966209534622986


2346b1,-3,(4 : 23*s - 2 : 1),0.334853102736789558514671835


2346c1,-3,(-8 : -34*s + 4 : 1),0.299920580098362049480215288


2346d1,-391,(1/2*(-3*s - 77) : 1/2*(-15*s + 625) :  1),0.226578312275820785659657928




2346d2,1,(-55 : -559 : 1),0.453156624551641571319315856


2346e1,-15,(0 : 1/2*(23*s - 1) : 1),0.341085808338958497114134219


2346f1,1,(8 : -30 : 1),0.344134548308437778619683815


2346f2,-20,(11 : 1/2*(51*s - 12) : 1),0.422354808723292036823550951


2346g1,-4,(1/2*(-3*s - 4) : -3*s - 4 : 1),0.233716668540807353688995596


2346g2,-291,(-29 : -s + 14 : 1),1.25768628807518044469893346


2346h1,-3,(s : 1 : 1),0.384283418175328692890254700


2346i1,1,(2 : 23 : 1),0.0725977616037033003311736409


2346j1,1,(16 : -200 : 1),0.224947512678825556233653257


2346k1,-7,(-12 : -46*s + 6 : 1),0.275782616798613402868862730


2346k2,NA,NA,E1


