CremonaReference,Discriminant,Point,Height,Provable
171a1,12,(3/2 : 1/8*(3*s - 10) : 1),0.650473478357704811312979606,0

171a2,-8,(1/2*(s - 8) : -5 : 1),0.526972661702427826223208135,0

171a3,-15,(-18 : 1/2*(3*s + 17) : 1),0.390921292460314228803810770,0

171a4,-15,(-3*s + 15 : 1/2*(39*s - 115) : 1),0.390921292460314228803810770,0

171b1,1,(2 : -5 : 1),0.225966868825694878751226265,0

171b2,24,(1/2*(3*s - 2) : 1/2*(-3*s + 26) : 1),0.198634777456924128540256197,0

171b3,109,(1/2*(-7*s + 23) : 1/2*(-59*s - 617) :  1),1.26199346136540296938084093,0


171c1,24,(13/2 : 1/8*(81*s - 4) : 1),0.282379912912405453530988860,0

171c2,NA,NA,E1,NA

171d1,-3,(-5 : 1/2*(9*s - 1) : 1),0.0375745927368237528248051112,0

