CremonaReference,Discriminant,Point,Height,Provable
1521a1,1,(-1 : -2 : 1),0.353176070779941031149980385,1

1521a2,-3,(1/2*(-3*s - 3) : 1/2*(9*s - 1) : 1),0.353176070779941031149980385,0

1521b1,13,(-13 : 1/2*(39*s - 1) : 1),0.353176070779941031149980385,0

1521b2,-663,(-39 : 1/2*(-39*s - 1) : 1),0.943620412960281476196667047,0

1521c1,-3,(-7 : 1/2*(9*s + 7) : 1),0.127226125173192409971488221,0

1521c2,21,(5 : 1/2*(-81*s - 5) : 1),0.269376052918436414562878496,0

1521d1,780,(7/2 : 1/8*(39*s - 14) : 1),0.763113750576109534024843185,0

1521d2,13,(1/2*(-13*s - 19) : -39*s - 460 : 1),0.141291953272443875831094063,0

1521d3,-715,(23 : 1/2*(-117*s - 23) : 1),1.57801475162353417376168305,0

1521d4,273,(-16 : 234*s + 8 : 1),1.10643664236743658304483190,0

1521e1,-312,(23 : 1/2*(-117*s - 24) : 1),0.668410232963254502287329153,0

1521e2,NA,NA,E1,NA

