CremonaReference,Discriminant,Point,Height,Provable
954a1,-3,(4 : -18*s - 2 : 1),0.0739226360878896170874240967,0

954b1,-15,(1/2*(3*s - 1) : -3*s + 7 : 1),0.400492701013989844458662206,0

954b2,105,(3*s + 22 : 1/2*(-39*s - 373) : 1),0.557683060025469558396890337,0

954c1,-3,(-4 : -18*s + 2 : 1),0.0328914668220911584114877598,0

954d1,12,(2 : 1/2*(9*s - 2) : 1),0.127085625825548439372780055,0

954e1,21,(6 : -48*s - 3 : 1),0.171218524777028220233575174,0

954e2,24,(6 : -1272*s - 3 : 1),0.670970881751176374175011914,0

954f1,636,(18 : 3*s - 9 : 1),0.367242221285656650690885052,0

954f2,24,(-3/2*s : -27 : 1),0.150089672906225612093916194,0

954g1,12,(1/2*(-s + 4) : s - 6 : 1),0.412022405434198683321912586,0

954g2,13,(s + 1 : 1/2*(-5*s + 5) : 1),0.440513699886450446986034878,0

954h1,1,(-1 : 6 : 1),0.0739226360878896170874240967,0

954i1,1,(11 : 3 : 1),0.113433202153911430716792618,0

954j1,1,(11 : -114 : 1),0.0711729908741003489634076087,0

954k1,-15,(-15 : 3*s + 7 : 1),0.424395537912600822170811555,0

954k2,-15,(-6*s + 3 : -36*s - 11 : 1),0.141465179304200274056937185,0

954l1,12,(11 : 1/2*(27*s - 12) : 1),0.123630015296488919549912403,0

954m1,-3,(-7 : 6*s + 3 : 1),0.0689126804035580700364358032,0

