CremonaReference,Discriminant,Point,Height
1764a1,28,(14 : -21*s : 1),0.414624152028428256446609446


1764a2,-420,(42 : 21*s : 1),0.925320058115424792687918773


1764b1,1,(14 : 49 : 1),0.526895372480598475024495029


1764b2,-56,(-7 : 7*s : 1),0.326617338771488428260076769


1764b3,-3,(-9*s - 3 : -9*s - 108 : 1),0.526895372480598475024495029


1764b4,168,(21 : -21*s : 1),0.326617338771488428260076769


1764c1,1,(4 : 6 : 1),0.345779633305248516396653014


1764c2,12,(6 : -9*s : 1),0.414624152028428256446609446


1764d1,12,(7 : 63/2*s : 1),0.392611726835054071275053899


1764e1,21,(-7 : 21*s : 1),0.0860354509665789301957216613


1764e2,417,(-49 : 147*s : 1),1.29662649575512558010043137


1764f1,-168,(-35 : -63/2*s : 1),0.584118821426808193056714500


1764f2,-3,(7 : 294*s : 1),0.332984270037880600901219889


1764f3,-56,(-35 : 441/2*s : 1),0.304478360212793906075810642


1764f4,-836,(7/4 : -9261/16*s : 1),2.84179833133094733431512835


1764g1,-3,(-3*s + 1 : -9*s - 18 : 1),0.103887976094095960629903366


1764g2,-3,(-5 : 18*s : 1),0.207775952188191921259806732


1764h1,-84,(14 : 63*s : 1),0.883376385378871660368871270


1764i1,-56,(-7 : -63/2*s : 1),0.800434512489184381123055664


1764i2,280,(-7 : 63*s : 1),1.23313418860753359902991621


1764j1,-3,(1 : -3*s : 1),0.0860354509665789301957216613


1764j2,-87,(-17 : 3*s : 1),0.621127546524368495119721196


1764k1,-7,(14 : 63*s : 1),0.0977746900180160183725064647


1764k2,-168,(-7 : -63*s : 1),0.362074347409472245328173108


