CremonaReference,Discriminant,Point,Height
2919a1,5,(3 : 1/2*(-21*s - 3) : 1),0.247824316220735256416348256


2919b1,8,(1/2*(9*s + 4) : 1/2*(-45*s + 114) : 1),0.454172780247181315640905213


2919b2,-7,(16 : 1/2*(-27*s - 17) : 1),0.799489272219595044996027035


2919c1,37,(1/2*(3*s + 9) : 1/2*(3*s + 29) : 1),0.709989139247156536556872853


2919c2,37,(1/2*(-9*s + 41) : 1/2*(45*s - 395) :  1),0.354994569623578268278436426




2919c3,133,(1/2*(-3*s + 49) : 1/2*(-27*s - 351) :  1),1.01757776775564826335735298




2919c4,37,(3*s + 25 : 1/2*(33*s + 445) : 1),0.709989139247156536556872853


2919d1,1,(7 : -14 : 1),0.194036328552025549446428803


