CremonaReference,Discriminant,Point,Height
936a1,-3,(2*s - 1 : 6 : 1),0.251139473363480400245850212


936a2,-4,(s + 5 : -5*s - 2 : 1),0.305619885578356798447944175


936b1,12,(11 : -6*s : 1),0.0787854656963044207747492675


936c1,-3,(2 : -9*s : 1),0.207629040805816220195039640


936c2,-3,(-1 : -36*s : 1),0.415258081611632440390079281


936d1,-159,(-8 : 27*s : 1),1.04033557966272178426319251


936d2,-24,(-8 : -351/2*s : 1),0.406751427997860434046902532


936e1,24,(1/2*(-3*s + 4) : 9 : 1),0.361423544563613340904246110


936e2,12,(-3*s - 1 : 15*s + 36 : 1),0.322624152248416454479160420


936e3,124,(3*s + 17 : 27*s - 306 : 1),0.640862377550054206963827968


936e4,12,(3*s - 7 : 27*s + 18 : 1),0.161312076124208227239580210


936f1,-3,(6*s + 3 : -18*s : 1),0.251139473363480400245850212


936f2,-3,(3 : 36*s : 1),0.502278946726960800491700423


936g1,12,(1/2*(-3*s + 10) : 6*s - 9 : 1),0.138241627243750935090394248


936g2,1,(17 : 18 : 1),0.276483254487501870180788496


936h1,12,(1/2*(3*s + 2) : 9 : 1),0.117937368480619152689557430


936h2,-3,(-6*s - 5 : 6*s - 36 : 1),0.235874736961238305379114859


936i1,-4,(1 : 27*s : 1),1.14122514370190844522926423


936i2,-15,(13 : 18*s : 1),0.544714956285712592315357635


936i3,40,(-3*s + 1 : -18*s - 198 : 1),0.921357294173180653321289571


936i4,-168,(-3*s + 13 : -18*s + 18 : 1),0.613131541081530465126574266


