CremonaReference,Discriminant,Point,Height,Provable
2414a1,5,(2 : 34*s - 1 : 1),0.200179224557427023138448973,0

2414b1,-19,(-6 : 4*s + 3 : 1),0.754850715254486965512718376,0

2414b2,77,(-2*s + 10 : 9*s - 66 : 1),0.555355707038252281349461088,0

2414c1,17,(8 : 2*s - 4 : 1),0.247865223511119303936268557,0

2414c2,17,(16 : -34*s - 8 : 1),0.743595670533357911808805672,0

2414d1,-8,(-1 : 1/2*s : 1),0.568238112463522412587448053,1

2414e1,5,(-19 : 1/2*(71*s + 19) : 1),0.690421986204720068782313594,0

2414e2,-755,(-11/5 : 1/50*(4913*s + 55) : 1),2.63334541355948893568055421,0

2414f1,NA,NA,E1,NA

2414f2,285,(76 : 1/2*(-1207*s - 77) : 1),0.766551292338663983622027746,0

2414f3,-712,(95 : 255*s - 48 : 1),3.65635598997400260115212114,0

2414f4,NA,NA,E1,NA

2414g1,-4,(-1 : 17*s : 1),0.100194343275647253990247614,0

