CremonaReference,Discriminant,Point,Height
2466a1,-3,(16 : 72*s - 8 : 1),0.0813378026678990322289267130


2466b1,105,(1/2*(-3*s + 21) : 3*s - 48 : 1),0.732689407925639203513203700


2466b2,105,(1/2*(3*s + 69) : -3*s - 168 : 1),0.366344703962819601756601849


2466b3,204,(18 : 135*s - 9 : 1),1.75416662597572890738661915


2466b4,105,(3*s + 48 : 1/2*(-39*s - 1335) : 1),0.732689407925639203513203700


2466c1,-3,(-6 : 6*s + 3 : 1),0.0603313239545069410363194520


2466d1,1,(3 : -6 : 1),0.263134810913348807041817913


2466e1,1,(-5 : 26 : 1),0.0813378026678990322289267130


2466f1,-3,(-9 : -36*s + 4 : 1),0.116077970123134297254931908


2466g1,33,(-27 : -972*s + 13 : 1),1.05243612056756906604884886


2466g2,33,(33 : -810*s - 17 : 1),1.31115463785524334060315303


2466h1,8,(1/2*(3*s + 2) : -3*s - 1 : 1),0.494984085102913354516856122


2466h2,37,(3*s + 19 : 1/2*(-39*s - 263) : 1),0.661222509528992830921990038


2466i1,12,(-1 : 9/2*s : 1),0.170955360942093984582650138


2466j1,-312,(-35 : -48*s + 17 : 1),1.39601363762101792506969470


2466k1,-84,(-15 : 54*s + 7 : 1),0.596941791574998785477732790


2466k2,-39,(-33 : 288*s + 16 : 1),1.05923570996004150425292022


