CremonaReference,InitialHeight
2142a1,0.332478946021057371446605039
2142b1,0.380280509795853172539000859
2142b2,0.391561244157193509440320231
2142c1,0.134851164036972064818186970
2142d1,0.845797302159421813710686802
2142d2,0.726185169945042826150249454
2142d3,0
2142d4,0.925297365489056225505017412
2142e1,0.440422849003550087416328959
2142e2,0.220211424501775043708164479
2142f1,0
2142g1,0
2142g2,0
2142g3,0
2142g4,0
2142g5,0
2142g6,0
2142h1,0.199175820008620799465846941
2142h2,0.398351640017241598931693882
2142h3,0.866028245705026428945344809
2142h4,0.796703280034483197863387763
2142i1,0.237940195378359945970847571
2142j1,1.20631918831688998122869678
2142j2,0
2142j3,0
2142k1,0.426962950765593946224763792
2142k2,0.480333319611293189502859266
2142l1,0.0831197365052643428616512595
2142m1,0.134851164036972064818186970
2142n1,0.391561244157193509440320231
2142n2,0.380280509795853172539000859
2142o1,0.140917372098975077207614284
2142p1,0.485414761036054734736695892
2142p2,0.320983454207872081898363732
2142q1,1.78517081715702232705472764
2142q2,0
2142r1,0.295197622388760043813803859
2142r2,0.907912243739991852160474510
2142s1,0
2142t1,0.246197112095105701031702009
2142t2,0.461090677230930268910116470
