CremonaReference,InitialHeight
2541a1,0
2541b1,0
2541b2,2.03559647788852885891286919
2541b3,0
2541b4,0
2541b5,0
2541b6,0
2541c1,0.293331779130296739165352869
2541d1,0
2541e1,0.0723019865906941882286633809
2541f1,0.312088883361082920689829699
2541g1,0
2541h1,0
2541i1,0.0475379989966891824759834653
2541j1,0.290302153640507218491376075
2541j2,0.414194651320262575777528220
2541k1,0.290302153640507218491376075
2541k2,0
2541l1,0.373149604347256854454718802
2541l2,0.746299208694513708909437604
2541l3,1.54391992122068574323917436
2541l4,2.24180263267593363968375748
2541l5,0
2541l6,0
