CremonaReference,InitialHeight
1224a1,0.149821697267303843037498816
1224b1,0.231507992826438818572777045
1224b2,0.463015985652877637145554089
1224c1,0.721288796722824679438238819
1224c2,0.898014113861460847350129331
1224c3,0
1224c4,1.09628671967489494106811792
1224d1,0.240283327718259942529051689
1224d2,0.480566655436519885058103378
1224e1,0.124696278580674341166165280
1224f1,0.149821697267303843037498816
1224g1,0.143350376432015721304435487
1224h1,0.209322921465790873249532550
1224h2,0.418645842931581746499065100
