CremonaReference,InitialHeight
1850a1,2.27523909205549066358014735
1850a2,3.89904193105646575400869581
1850a3,0
1850a4,0
1850b1,0.329975048420744005320281861
1850c1,0.735730628679803438701248348
1850d1,0
1850e1,0.196247114550368655211401313
1850f1,0.555084571835778072030533225
1850f2,2.18882648179059104099373234
1850g1,0.352822019106698181786207768
1850g2,0
1850h1,1.72507976025438542045057403
1850h2,1.89906300427053443535099497
1850h3,0
1850i1,0
1850i2,0
1850j1,0.604991208492293726938883347
1850j2,1.11353242895353103521200865
1850j3,0
1850j4,0.521759743476541991930236478
1850k1,0.530353883210163711044918347
1850l1,0.100155033213533498353617738
1850m1,1.53665575946585552544820850
1850n1,0.196247114550368655211401313
1850o1,0
1850o2,0
1850p1,0.381425408858691674034960253
