CremonaReference,InitialHeight
2904a1,0.448287011976760869949057889
2904a2,0.318786543128996510089854400
2904b1,2.58004285520202885253041480
2904b2,1.85266291788809229235866250
2904c1,1.11730991424403425102760280
2904d1,1.14532818512483324251724301
2904d2,0.708079888028680172590798824
2904d3,1.21193757210184711930954888
2904d4,1.67875874122677327367975227
2904d5,1.43017561307758276397744015
2904d6,0
2904e1,0
2904e2,0
2904f1,0.0865638613548990461336846156
2904g1,0.946154773653814402416039613
2904g2,1.15492343457954628030804014
2904h1,0.637573086257993020179708799
2904h2,0
2904i1,0.926331458944046146179331253
2904i2,0.191257987805544525163442107
2904j1,0.279327478561008562756900700
2904k1,1.49472493436728433082773734
2904k2,3.12291956002052151851430409
2904k3,0
2904k4,0
2904l1,0.358946168561009179235110880
2904l2,0.179473084280504589617555440
2904m1,0.0865638613548990461336846156
2904n1,1.19288050028635443992101198
2904n2,2.85654703656732433435375498
2904n3,0
2904n4,0
2904o1,0
2904o2,0
