CremonaReference,InitialHeight
2275a1,0.587398471657608872988006970
2275a2,0.353081695469716848497717897
2275a3,0
2275b1,0.256010094716338100327946649
2275c1,1.25844815833545838832528411
2275c2,1.23668710268364567518628071
2275c3,0
2275c4,1.25844815833545838832528411
2275d1,0.696970431512297751442723577
2275d2,1.45971065821487864933034367
2275d3,0
2275d4,0.748130219339432091300372322
2275e1,0.142392150668768659184791095
2275f1,4.25203958544183777841175405
2275f2,1.99810998609654417671386646
2275g1,0.364205241815223480347668681
2275g2,0.760167700391385690787685616
2275h1,0.204369780360998448955172174
